Label,Region,See_Also,Comments,NewRef_ID_NO,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_13,Map_14,Map_12
Baylaqan,,Paydangaran,,176,syriaca.org/place/4067,,2,,,,,,,9,,,,,
Baʿquba,,,,178,syriaca.org/place/4068,,2,,,,,,8,,,,,,
Bijar,,,,182,syriaca.org/place/4069,,2,,,,,,,9,,,,,
Dinawar,,,,185,syriaca.org/place/4070,,2,,,,,,8,9,,,,,
Ḥadithat al-Furat,,,,192,syriaca.org/place/4071,,2,,,,,7,,,,,,,
Hit,,,,197,syriaca.org/place/4072,,2,,,,,,8,,,,,,
Iran,Y,Persia,,201,syriaca.org/place/4073,,2,,,,,,8,9,,,,,
Jaffa,,,,203,syriaca.org/place/4074,,2,,,5,,,,,,,,,
Janza,,,,204,syriaca.org/place/4075,,2,,,,,,,,,,,,
al-Jawf,,,change alpha,205,syriaca.org/place/4076,,2,,,,,,,,,,,,
Jibal,Y,,,207,syriaca.org/place/4077,,2,,,,,,,,,,,,
Khanaqin,,,,212,syriaca.org/place/4078,,2,,,,,7,8,,,,,,
Kufa,,,,216,syriaca.org/place/4079,,2,,,,,,8,,,,,,
Muqan,Y,,,227,syriaca.org/place/4080,,2,,,,,,,9,,,,,
Nakhchivan,,,,228,syriaca.org/place/4081,,2,,,,,7,,9,,,,,
Nicosia,,,Not place http://syriaca.org/place/2349,230,syriaca.org/place/4082,,2,3,,,,,,,,,,,
Nifr,,,,231,syriaca.org/place/4083,,2,,,,,,8,,,,,,
Rafaḥ,,Raphia,,236,syriaca.org/place/4084,,2,,,5,,,,,,,,,
Ruwanduz,,,,240,syriaca.org/place/4085,,2,,,,,7,,,,,,14,
Mahabad,,Sablagh,,241,syriaca.org/place/4086,,2,,,,,,,,,,,,
Samarraʾ,,,,243,syriaca.org/place/4087,,2,,,,,7,8,,,,,,
Saqqez,,,,245,syriaca.org/place/4088,,2,,,,,7,,9,,,,,
Shayzar,,Larissa,,246,syriaca.org/place/4089,,2,3,,,,,,,,,,,
Shaki,,,,247,syriaca.org/place/4090,,2,,,,,,,,,,,,
Shamakhi,,,,248,syriaca.org/place/4091,,2,,,,,,,,,,,,
Shushtar,,,,250,syriaca.org/place/4092,,2,,,,,,8,9,,,,,
Sivas,,,,254,syriaca.org/place/4093,,2,,,,,,,,,,,,
Soltania,,Sulṭaniyya,,255,syriaca.org/place/4094,,2,,,,,,,9,,,,,
Sulṭaniyya,,Soltania,,255,syriaca.org/place/4094,,2,,,,,,,9,,,,,
