Old-ID,NEW,match?,Old Name,status,comments,OldID lookup,
,New308,#N/A,#N/A,,,Old253,
,New309,#N/A,#N/A,,,Old253,
Old209,New31,Old209,Nerwa,,,Old319,
,New310,#N/A,#N/A,,,Old347,
,New311,#N/A,#N/A,,,Old347,
,New312,#N/A,#N/A,,,Old55,
,New313,#N/A,#N/A,,,Old55,
,New314,#N/A,#N/A,,,Old194,
,New315,#N/A,#N/A,,,Old195,
,New316,#N/A,#N/A,,,Old195,
,New317,#N/A,#N/A,,,Old17,
,New318,#N/A,#N/A,,,Old17,
,New319,#N/A,#N/A,,,Old345,
Old210,New32,Old210,Qaraqosh,,,Old79,
,New320,#N/A,#N/A,,,Old303,
,New321,#N/A,#N/A,,,Old303,
,New322,#N/A,#N/A,,,Old513,
,New323,#N/A,#N/A,,,Old513,
,New324,#N/A,#N/A,,,Old254,
,New325,#N/A,#N/A,,,Old254,
,New326,#N/A,#N/A,,,Old329,
,New327,#N/A,#N/A,,,Old329,
,New328,#N/A,#N/A,,,Old479,
,New329,#N/A,#N/A,,,Old479,
Old211,New33,Old211,Qasr-e Širin,,,Old401,
,New330,#N/A,#N/A,,,Old401,
,New331,#N/A,#N/A,,,Old469,
,New332,#N/A,#N/A,,,Old196,
,New333,#N/A,#N/A,,,Old196,
,New334,#N/A,#N/A,,,Old414,
,New335,#N/A,#N/A,,,Old414,
,New336,#N/A,#N/A,,,Old66,
,New337,#N/A,#N/A,,,Old8,
,New338,#N/A,#N/A,,,Old8,
,New339,#N/A,#N/A,,,Old480,
,New34,#N/A,#N/A,,,Old272,
,New340,#N/A,#N/A,,,Old272,
,New341,#N/A,#N/A,,,Old279,
,New342,#N/A,#N/A,,,Old42,
,New343,#N/A,#N/A,,,Old293,
,New344,#N/A,#N/A,,,Old343,
,New345,#N/A,#N/A,,,Old42,
,New346,#N/A,#N/A,,,Old36,
,New347,#N/A,#N/A,,,Old47,
,New348,#N/A,#N/A,,,Old235,
,New349,#N/A,#N/A,,,Old235,
Old213,New35,#N/A,Ruwanduz,wait,already an issue with this one; needs manual attention,Old372,
,New350,#N/A,#N/A,,,Old500,
,New351,#N/A,#N/A,,,Old197,
,New352,#N/A,#N/A,,,Old197,
Old215,New353,Old215,Sainqala,,,Old280,
Old193,New354,Old193,Dohok,,,Old280,
Old39,New354,Old39,Beth Nuhadra,,,Old294,
Old190,New355,Old190,Cizre,,,Old366,
Old31,New355,Old31,Gazarta,,,Old442,
Old428,New355,Old428,Cizre / Gazarta Zabdayta,,,Old5,
Old478,New355,Old478,Gazarta (Cizre),,,Old302,
,New356,#N/A,#N/A,,,Old56,
,New357,#N/A,#N/A,,,Old56,
Old212,New358,Old212,Rustaqa,,,Old419,
,New359,#N/A,#N/A,,,Old419,
Old216,New36,Old216,Sanandaj,,,Old495,
,New360,#N/A,#N/A,,,Old504,
,New361,#N/A,#N/A,,,Old420,
,New362,#N/A,#N/A,,,Old420,
,New363,#N/A,#N/A,,,Old68,
,New364,#N/A,#N/A,,,Old68,
,New365,#N/A,#N/A,,,Old70,
,New366,#N/A,#N/A,,,Old116,
,New367,#N/A,#N/A,,,Old360,
,New368,#N/A,#N/A,,,Old360,
,New369,#N/A,#N/A,,,Old393,
Old217,New37,Old217,Saqqez,,,Old393,
,New370,#N/A,#N/A,,,Old148,
,New371,#N/A,#N/A,,,Old148,
,New372,#N/A,#N/A,,,Old258,
,New373,#N/A,#N/A,,,Old403,
,New374,#N/A,#N/A,,,Old443,
,New375,#N/A,#N/A,,,Old481,
,New376,#N/A,#N/A,,,Old165,
