Old-ID,NEW,Map,Old Name,New Name,Deprecated
Old449,New276,,Serug/Batnae,#REF!,
Old43,New277,,Beth Waziq,#REF!,
Old48,New278,,Shahrgard,#REF!,
Old383,New279,,Sharfeh,#REF!,
Old206,New28,,Maʿlula,#REF!,
Old378,New280,,Sum Huh Burd,#REF!,
Old105,New281,,Sumatar Harabesi,#REF!,
Old283,New281,,Sumatar Harabesi,#REF!,
,New282,,#N/A,#REF!,
Old115,New283,,Tell ‘Ada,#REF!,
Old493,New284,,Zaz,#REF!,
,New285,,#N/A,#REF!,
Old63,New286,,Radhan,#REF!,
,New287,,#N/A,#REF!,
,New288,,#N/A,#REF!,
,New289,,#N/A,#REF!,
Old207,New29,,Midyat,#REF!,
Old406,New29,,Midyat,#REF!,
Old486,New29,,Midyat,#REF!,
,New290,,#N/A,#REF!,
,New291,,#N/A,#REF!,
,New292,,#N/A,#REF!,
,New293,,#N/A,#REF!,
,New294,,#N/A,#REF!,
,New295,,#N/A,#REF!,
,New296,,#N/A,#REF!,
,New297,,#N/A,#REF!,
,New298,,#N/A,#REF!,
,New299,,#N/A,#REF!,
Old178,New3,,Amedia,#REF!,
Old208,New30,,Mlaḥsō,#REF!,
,New300,,#N/A,#REF!,
,New301,,#N/A,#REF!,
,New302,,#N/A,#REF!,
,New303,,#N/A,#REF!,
,New304,,#N/A,#REF!,
,New305,,#N/A,#REF!,
,New306,,#N/A,#REF!,
,New307,,#N/A,#REF!,
,New308,,#N/A,#REF!,
,New309,,#N/A,#REF!,
Old209,New31,,Nerwa,#REF!,
,New310,,#N/A,#REF!,
,New311,,#N/A,#REF!,
,New312,,#N/A,#REF!,
,New313,,#N/A,#REF!,
,New314,,#N/A,#REF!,
,New315,,#N/A,#REF!,
,New316,,#N/A,#REF!,
,New317,,#N/A,#REF!,
,New318,,#N/A,#REF!,
,New319,,#N/A,#REF!,
Old210,New32,,Qaraqosh,#REF!,
,New320,,#N/A,#REF!,
,New321,,#N/A,#REF!,
,New322,,#N/A,#REF!,
,New323,,#N/A,#REF!,
,New324,,#N/A,#REF!,
,New325,,#N/A,#REF!,
,New326,,#N/A,#REF!,
,New327,,#N/A,#REF!,
,New328,,#N/A,#REF!,
,New329,,#N/A,#REF!,
Old211,New33,,Qasr-e Širin,#REF!,
,New330,,#N/A,#REF!,
,New331,,#N/A,#REF!,
,New332,,#N/A,#REF!,
,New333,,#N/A,#REF!,
,New334,,#N/A,#REF!,
,New335,,#N/A,#REF!,
,New336,,#N/A,#REF!,
,New337,,#N/A,#REF!,
,New338,,#N/A,#REF!,
,New339,,#N/A,#REF!,
,New34,,#N/A,#REF!,
,New340,,#N/A,#REF!,
,New341,,#N/A,#REF!,
,New342,,#N/A,#REF!,
,New343,,#N/A,#REF!,
,New344,,#N/A,#REF!,
,New345,,#N/A,#REF!,
,New346,,#N/A,#REF!,
,New347,,#N/A,#REF!,
,New348,,#N/A,#REF!,
,New349,,#N/A,#REF!,
Old213,New35,,Ruwanduz,#REF!,
,New350,,#N/A,#REF!,
,New351,,#N/A,#REF!,
,New352,,#N/A,#REF!,
Old215,New353,,Sainqala,#REF!,
Old193,New354,,Dohok,#REF!,
Old39,New354,,Beth Nuhadra,#REF!,
Old190,New355,,Cizre,#REF!,
Old31,New355,,Gazarta,#REF!,
Old428,New355,,Cizre / Gazarta Zabdayta,#REF!,
Old478,New355,,Gazarta (Cizre),#REF!,
,New356,,#N/A,#REF!,
,New357,,#N/A,#REF!,
Old212,New358,,Rustaqa,#REF!,
,New359,,#N/A,#REF!,
Old216,New36,,Sanandaj,#REF!,
,New360,,#N/A,#REF!,
,New361,,#N/A,#REF!,
,New362,,#N/A,#REF!,
,New363,,#N/A,#REF!,
,New364,,#N/A,#REF!,
,New365,,#N/A,#REF!,
,New366,,#N/A,#REF!,
,New367,,#N/A,#REF!,
,New368,,#N/A,#REF!,
,New369,,#N/A,#REF!,
Old217,New37,,Saqqez,#REF!,
,New370,,#N/A,#REF!,
,New371,,#N/A,#REF!,
,New372,,#N/A,#REF!,
,New373,,#N/A,#REF!,
,New374,,#N/A,#REF!,
,New375,,#N/A,#REF!,
,New376,,#N/A,#REF!,
,New377,,#N/A,#REF!,
,New378,,#N/A,#REF!,
,New379,,#N/A,#REF!,
Old219,New38,,Shaqlawa,#REF!,
,New380,,#N/A,#REF!,
,New381,,#N/A,#REF!,
,New382,,#N/A,#REF!,
Old243,New383,,Qara Qota (Khara Khoto),#REF!,
Old380,New383,,Qara-khoto,#REF!,
,New384,,#N/A,#REF!,
,New385,,#N/A,#REF!,
,New386,,#N/A,#REF!,
Old35,New387,,Eshnuq,#REF!,
Old161,New388,,Barwari Bala,#REF!,
Old171,New389,,Txuma,#REF!,
Old172,New389,,Tyare,#REF!,
Old220,New39,,Solduz (Naqadeh),#REF!,
Old173,New390,,Upper Ṭiyare,#REF!,
Old166,New391,,Lower Ṭiyare,#REF!,
Old162,New392,,Baz,#REF!,
Old165,New393,,Jilu,#REF!,
,New394,,#N/A,#REF!,
Old164,New395,,Cudi Daği,#REF!,
Old163,New396,,Bohtan,#REF!,
Old462,New397,,Lake Van,#REF!,
Old365,New398,,Caspian Sea,#REF!,
,New399,,#N/A,#REF!,
Old179,New4,,Ankawa,#REF!,
Old221,New40,,Sulemaniyya,#REF!,
Old364,New400,,Black Sea,#REF!,
Old466,New401,,Crimea,#REF!,
Old384,New402,,Caucasus,#REF!,
Old54,New403,,Muqan,#REF!,
Old84,New404,,Adardbaigan,#REF!,
Old412,New405,,Armenia,#REF!,
Old85,New405,,Armenia,#REF!,
Old17,New406,,Gilan,#REF!,
Old345,New406,,Gilan,#REF!,
Old79,New406,,Dailam and Gilan,#REF!,
Old344,New407,,Dailam,#REF!,
Old36,New408,,Hebton,#REF!,
Old27,New409,,Qaimar,#REF!,
Old222,New41,,Telkepe,#REF!,
Old169,New410,,Tergawar,#REF!,
Old47,New411,,Hnitha,#REF!,
Old119,New412,,Sinjar,#REF!,
,New413,,#N/A,#REF!,
,New414,,#N/A,#REF!,
Old116,New415,,mount Izla,#REF!,
Old117,New416,,Tur ‘Abdin,#REF!,
Old170,New416,,Tur Abdin,#REF!,
Old385,New416,,Tur ‘Abdin,#REF!,
Old470,New416,,TurʿAbdin,#REF!,
Old273,New417,,Al-Hijr,#REF!,
Old331,New418,,Toru Aygyr,#REF!,
Old363,New419,,Murghab River,#REF!,
Old223,New42,,Tikab,#REF!,
Old360,New420,,Syr Darya (Jaxartes),#REF!,
Old361,New421,,Amu Darya (Oxus),#REF!,
Old135,New422,,Euphrate,#REF!,
Old138,New423,,Tigris,#REF!,
Old136,New424,,Great Zab,#REF!,
Old175,New424,,Great Zab river,#REF!,
Old137,New425,,Little Zab,#REF!,
Old362,New426,,Chu River,#REF!,
,New427,,#N/A,#REF!,
,New428,,#N/A,#REF!,
,New429,,#N/A,#REF!,
Old224,New43,,Urmi,#REF!,
Old34,New43,,Urmia,#REF!,
Old411,New43,,Urmia,#REF!,
,New430,,#N/A,#REF!,
,New431,,#N/A,#REF!,
,New432,,#N/A,#REF!,
,New433,,#N/A,#REF!,
,New434,,#N/A,#REF!,
,New435,,#N/A,#REF!,
,New436,,#N/A,#REF!,
,New437,,#N/A,#REF!,
,New438,,#N/A,#REF!,
Old392,New439,,Cyprus,#REF!,
Old467,New439,,Cyprus,#REF!,
Old225,New44,,Zakho,#REF!,
Old127,New440,,Egypt,#REF!,
Old468,New440,,Egypt,#REF!,
Old421,New441,,Jordan,#REF!,
Old134,New442,,Syria,#REF!,
Old427,New442,,Syria,#REF!,
Old120,New443,,Judean desert,#REF!,
Old393,New444,,Jazeera,#REF!,
Old122,New445,,Arzanene,#REF!,
Old130,New446,,Osrhoene,#REF!,
Old256,New446,,Osrhoene,#REF!,
Old352,New447,,Khorasan,#REF!,
Old350,New448,,Khwarezm,#REF!,
Old347,New449,,Ferghana Valley,#REF!,
Old1,New45,,#N/A,#REF!,
Old146,New45,,Damascus,#REF!,
Old268,New45,,Damascus,#REF!,
Old399,New45,,Damascus,#REF!,
Old439,New45,,Damascus,#REF!,
Old477,New45,,Damascus,#REF!,
Old88,New45,,Damascus,#REF!,
Old320,New450,,Tarim Basin,#REF!,
Old353,New451,,Tibet,#REF!,
Old300,New452,,Ladakh,#REF!,
Old358,New453,,Surkhandarya,#REF!,
Old356,New454,,Sogdiana,#REF!,
Old359,New455,,Transoxiana (Mawara’n-nahr),#REF!,
Old357,New456,,Bactria (Tokharistan),#REF!,
Old326,New457,,Tien Shan,#REF!,
,New458,,#N/A,#REF!,
Old311,New459,,Ordos,#REF!,
Old140,New46,,Antioch,#REF!,
Old2,New46,,Antioch,#REF!,
Old257,New46,,Antioch,#REF!,
Old431,New46,,Antioch,#REF!,
Old453,New46,,Antioch,#REF!,
Old304,New460,,Kunlun,#REF!,
,New461,,#N/A,#REF!,
Old302,New462,,Hindu Kush,#REF!,
Old308,New463,,Pamir,#REF!,
,New464,,#N/A,#REF!,
,New465,,#N/A,#REF!,
,New466,,#N/A,#REF!,
,New467,,#N/A,#REF!,
,New468,,#N/A,#REF!,
,New469,,#N/A,#REF!,
Old3,New47,,Aleppo,#REF!,
Old391,New47,,Aleppo,#REF!,
Old429,New47,,Aleppo,#REF!,
,New470,,#N/A,#REF!,
,New471,,#N/A,#REF!,
,New472,,#N/A,#REF!,
,New473,,#N/A,#REF!,
,New474,,#N/A,#REF!,
,New475,,#N/A,#REF!,
,New476,,#N/A,#REF!,
Old132,New477,,Scete,#REF!,
Old389,New478,,Palestine,#REF!,
Old422,New479,,Lebanon,#REF!,
Old288,New48,,Mopsuestia,#REF!,
Old4,New48,,Mopsuestia,#REF!,
Old460,New48,,Mor Matay,#REF!,
Old126,New480,,Cyrrestica,#REF!,
Old420,New481,,Iraq,#REF!,
Old131,New482,,Fars,#REF!,
Old76,New482,,Fars,#REF!,
Old417,New483,,Georgia,#REF!,
,New484,,#N/A,#REF!,
,New485,,#N/A,#REF!,
,New486,,#N/A,#REF!,
,New487,,#N/A,#REF!,
,New488,,#N/A,#REF!,
Old354,New489,,Turkistan,#REF!,
Old280,New49,,Hierapolis,#REF!,
Old294,New49,,Mabbug,#REF!,
Old366,New49,,Mabbug,#REF!,
Old442,New49,,Hierapolis (Mabbug),#REF!,
Old5,New49,,Mabbugh,#REF!,
Old351,New490,,Semirechye (Yeti Su),#REF!,
Old301,New491,,Badghis,#REF!,
,New492,,#N/A,#REF!,
Old419,New493,,India,#REF!,
Old495,New493,,India,#REF!,
Old504,New493,,India,#REF!,
Old463,New494,,Kerala,#REF!,
Old506,New494,,Kerala,#REF!,
Old508,New495,,Malabar,#REF!,
Old511,New496,,Coromandel,#REF!,
Old510,New497,,Travancore,#REF!,
Old316,New498,,Tenduc,#REF!,
Old355,New499,,Tangut,#REF!,
Old180,New5,,Araḏin,#REF!,
Old287,New50,,Melitene,#REF!,
Old485,New50,,Melitene,#REF!,
Old6,New50,,Melitene,#REF!,
Old465,New500,,China,#REF!,
,New501,,#N/A,#REF!,
Old121,New502,,Adiabene,#REF!,
Old56,New503,,Hrbath Glal,#REF!,
Old125,New504,,BĒth-Garmai,#REF!,
Old14,New504,,Karka d'Beth Solkh,#REF!,
Old149,New504,,Karkā d-Bēth Slokh,#REF!,
Old82,New504,,Beth Garmai,#REF!,
Old33,New505,,Beth Bgash,#REF!,
,New506,,#N/A,#REF!,
Old144,New507,,Bēth-Lapaṭ,#REF!,
Old20,New507,,Jundishapur,#REF!,
Old228,New507,,Beth Lapat / Gondeshapur,#REF!,
Old77,New507,,Elam,#REF!,
Old159,New508,,Šuštar,#REF!,
Old71,New508,,Shushter,#REF!,
Old78,New509,,Maishan,#REF!,
