Shelf-mark	Shelf-mark-as-id	Catalog pp# (volume#pages)	Wright’s Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:
Add. 14,614, foll. 1-79	Add.14-614-foll.1-79	2#832-833	DCCCXVII	817	Approx. 10c	353				Peter	Drafted	
Add. 14,614, foll. 80-127	Add.14-614-foll.80-127	2#745-746	DCCLXXIII	773	Approx. 8c	354				Peter	Drafted	
Add. 14,619	Add.14-619	2#401-403	DXXVIII	528	Approx. 6c	359				Erin and Justin	Drafted	
Add. 14,625	Add.14-625	2#532	DCLXXXI	681	Approx. 10c	365				Kim	Drafted	
Add. 14,626	Add.14-626	3#1087-1088	DCCCCXL	940	Approx. 6c	366				Peter	Drafted	
Add. 14,627	Add.14-627	2#415	DXLII	542	Approx. 6c-7c	367				Justin	Drafted	
Add. 14,630, foll. 1-27	Add.14-630-foll.1-27	2#818-819	DCCCX	810	Approx. 10c	375				Peter	Drafted	
Add. 14,630, fol. 28	Add.14-630-fol.28	2#512	DCXLVIII	648	Approx. 7c	376				Peter	Drafted	
Add. 14,630, foll. 29-41	Add.14-630-foll.29-41	2#481	DCIII	603	Approx. 9c	377				Peter	Drafted	
Add. 14,632	Add.14-632	2#576-581	DCXCV	695	Approx. 10c	382				Daniel 	Drafted	
Add. 14,633	Add.14-633	2#569-576	DCXCIV	694	Approx. 10c	383				Daniel 	Drafted	
Add. 14,634, foll. 1, 2	Add.14-634-foll.1-2	2#515	DCLVIII	658	Approx. 9c-10c	385				Justin	Drafted	
Add. 14,634, foll. 3-49	Add.14-634-foll.3-49	2#514-515	DCLVI	656	Approx. 9c	386				Training Group	Drafted and edited	Justin 9/22/2014
Add. 14,634, foll. 50, 51	Add.14-634-foll.50-51	2#513	DCLIII	653	Approx. 8c-9c	387				Justin	Drafted	
Add. 14,634, foll. 52-57	Add.14-634-foll.52-57	2#422-423	DLIV	554	Approx. 9c	388				Justin	Drafted	
Add. 14,635, foll. 1-4	Add.14-635-foll.1-4	2#445	DLXV	565	Approx. 6c	390				Justin	Drafted	
Add. 14,635, foll. 5-15	Add.14-635-foll.5-15	2#449-450	DLXVIII	568	Approx. 6c	391				Justin	Drafted	
Add. 14,635, foll. 16-18	Add.14-635-foll.16-18	2#414	DXLI	541	Approx. 6c (555)	392				Justin	Drafted	
Add. 14,635, foll. 19, 20	Add.14-635-foll.19-20	2#419	DXLIX	549	Approx. 8c-9c	393				Justin	Drafted	
Add. 14,635, foll. 21-24	Add.14-635-foll.21-24	1#176	CCXXXVII	237	Approx. 11c	394				Justin	Drafted	
Add. 14,639	Add.14-639	3#1039-1040	DCCCCXI	911	Approx. 6c	403				Stephanie	Drafted	
Add. 14,640	Add.14-640	3#1061-1062	DCCCCXX	920	Approx. 7c	404				Stephanie	Drafted and edited	Jessie, 06/03/20
Add. 14,641	Add.14-641	3#1042-1046	DCCCCXVIII	918	Approx. 6c	405				Peter	Drafted	
Add. 14,643	Add.14-643	3#1040-1041	DCCCCXIII	913	Approx. 8c (mid)	407				Stephanie	Drafted	
Add. 14,646, foll. 1-133	Add.14-646-foll.1-133	3#1086-1087	DCCCCXXXVII	937	Approx. 6c	411				Peter	Drafted	
Add. 14,646, foll. 134-194, upper text	Add.14-646-foll.134-194-uppertext	3#1087	DCCCCXXXIX	939	Approx. 6c	412				Peter	Drafted	
Add. 14,654	Add.14-654	3#1081-1083	DCCCCXXXV	935	Approx. 5c-6c	422				James	Drafted	
Add. 14,658	Add.14-658	3#1154-1160	DCCCCLXXXVII	987	Approx. 7c	426				Peter	Drafted	
Add. 14,659	Add.14-659	3#1163-1164	DCCCCXC		Approx. 8c-9c	427				Peter	Drafted	
Add. 14,664, foll, 1-17, 20, 21	Add.14-664-foll-1-17-20-21	1#203	CCLIV	254	Approx. 10c-11c	433				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 14,664, foll. 18, 19, 30-33	Add.14-664-foll.18-19-30-33	1#389	DVI	506	Approx. 10c	434				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 14,664, foll. 22-29	Add.14-664-foll.22-29	1#39	LXII	62	Approx. 10c-11c	435				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 14,664, fol. 34	Add.14-664-fol.34	1#378	CCCCLXXXV	485	Approx. 12c-13c	436				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 14,666, fol. 1	Add.14-666-fol.1	1#17	XXVIII	28	Approx. 10c-11c	446				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,666, fol. 2	Add.14-666-fol.2	1#17	XXVII	27	Approx. 8c	447				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,666, fol. 3	Add.14-666-fol.3	1#13	XX	20	Approx. 6c-7c	448				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,666, foll. 37	Add.14-666-foll.37	1#27	XLV	45	Approx. 6c-7c	454				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,666, foll. 38-46	Add.14-666-foll.38-46	1#27	XLIII	43	Approx. 6c-7c	455				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,666, fol. 47	Add.14-666-fol.47	1#69	CVII	107	Approx. 12c	456				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,666, fol. 48	Add.14-666-fol.48	1#69	CV	105	Approx. 10c	457				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,666, foll. 49, 50	Add.14-666-foll.49-50	1#72	CXV	115	Approx. 10c-11c	458				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,666, foll. 51-55	Add.14-666-foll.51-55	1#93	CXLIV	144	Approx. 7c-8c	459				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,666, fol. 56	Add.14-666-fol.56	1#92	CXLII	142	682	460				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,668, foll. 1-3	Add.14-668-foll.1-3	1#10	XIV	14	Approx. 9c	484				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,668, foll. 4-11	Add.14-668-foll.4-11	1#37	LIX	59	Approx. 8c	485				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,668, foll. 12-19	Add.14-668-foll.12-19	1#27	XLIV	44	Approx. 7c	486				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,668, foll. 20-25	Add.14-668-foll.20-25	1#20-21	XXXIII	33	Approx. 8c	487				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,668, foll. 26-29	Add.14-668-foll.26-29	1#37	LVIII	58	Approx. 8c	488				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,668, foll. 30, 31	Add.14-668-foll.30-31	1#72	CXIV	114	Approx. 9c	489				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,669, foll. 22	Add.14-669-foll.22	1#10	XV	15	Approx. 10c	500				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,669, foll. 23, 24	Add.14-669-foll.23-24	1#10	XIII	13	Approx. 6c	501				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,669, fol. 25	Add.14-669-fol.25	1#22	XXXV	35	Approx. 7c	502				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,669, fol. 26	Add.14-669-fol.26	1#69	CVIII	108	Approx. 12c	503				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,669, foll. 27, 28	Add.14-669-foll.27-28	1#69	CIV	104	Approx. 7c	504				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,669, foll. 29-33	Add.14-669-foll.29-33	1#68-69	CIII	103	Approx. 6c-7c	505				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,669, foll. 34-36	Add.14-669-foll.34-36	1#67	XCIX	99	Approx. 6c	506				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,669, fol. 37	Add.14-669-fol.37	1#72	CXIII	113	Approx. 6c	507				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,669, foll. 38-56	Add.14-669-foll.38-56	1#58	LXXXII	82	Approx. 9c	508				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,669, foll. 57-59	Add.14-669-foll.57-59	1#90	CXL	140	Approx. 6c-7c	509				Tucker	Drafted and edited	Tucker, 2/28/2014
Add. 14,670, fol. 1	Add.14-670-fol.1	2#48	DXCIX	599	Approx. 6c-7c	511				Justin	Drafted	
Add. 14,670, foll. 2-7	Add.14-670-foll.2-7	2#588-589	DCCII	702	Approx. 9c	512				Justin	Drafted	
Add. 14,670, foll. 8-13	Add.14-670-foll.8-13	2#464	DLXXIX	579	Approx. 9c	513				Justin	Drafted	
Add. 14,670, fol. 14	Add.14-670-fol.14	2#464	DLXXVIII	578	Approx. 6c	514				Justin	Drafted	
Add. 14,670, foll. 15-18	Add.14-670-foll.15-18	3#1164	DCCCCXCII	992	Approx. 7c	515				Justin	Drafted	
Add. 14,670, foll. 19-22	Add.14-670-foll.19-22	2#690-691	DCCL	750	Approx. 6c-7c	516				Justin	Drafted	
Add. 14,670, foll. 23-25	Add.14-670-foll.23-25	3#1153	DCCCCLXXXIV	984	Approx. 6c-7c	517				Justin	Drafted	
Add. 14,670, foll. 26-29	Add.14-670-foll.26-29	2#51	DCXLIII	643	Approx. 6c-7c	518				Justin	Drafted	
Add. 14,670, foll. 30-35	Add.14-670-foll.30-35	2#51	DCXLII	642	Approx. 6c-7c	519				Justin	Drafted	
Add. 14,670, foll. 36, 37	Add.14-670-foll.36-37	2#511	DCXLIV	644	Approx. 6c-7c	520				Justin	Drafted	
Add. 14,670, fol. 38	Add.14-670-fol.38	2#512	DCXLIX	649	Approx. 7c	521				Justin	Drafted	
Add. 14,670, fol. 39	Add.14-670-fol.39	2#512	DCXLVII	647	Approx. 7c	522				Justin	Drafted	
Add. 14,671	Add.14-671	1#3	II	2	Approx. 13c	523				Tucker	Drafted and edited	Tucker, 9/27
Add. 14,672	Add.14-672	1#136	CXCIII	193	Approx. 13c-14c	524				Anna	Drafted and edited	Will, 01/31/2020
Add. 14,673	Add.14-673	1#132	CLXXXVIII	188	Approx. 13c	525				Anna	Drafted and edited	Jessie, 05/14/20
Add. 14,674, foll. 1-78	Add.14-674-foll.1-78	1#127-128	CLXXX	180	Approx. 12c	527				Peter	Drafted	
Add. 14,674, foll. 79-126	Add.14-674-foll.79-126	1#128	CLXXXI	181	Approx. 12c	528				Peter	Drafted	
Add. 14,675	Add.14-675	1#129-131	CLXXXVI	186	Approx. 13c	529				Peter	Drafted	
Add. 14,676, foll. 1-42	Add.14-676-foll.1-42	1#128	CLXXXII	182	Approx. 12c	531				Peter	Drafted	
Add. 14,676, foll. 43-86	Add.14-676-foll.43-86	3#1074	DCCCCXXVI	926	Approx. 13c	532				Peter	Drafted	
Add. 14,677	Add.14-677	1#131-132	CLXXXVII	187	Approx. 13c	533				Anna	Drafted and edited	Jessie, 05/14/20
Add. 14,678	Add.14-678	1#132-133	CLXXXIX	189	1237	534				Anna	Drafted and edited	Jessie, 05/14/20
Add. 14,679	Add.14-679	2#606	DCCX	710	1102	535				Daniel	Drafted	
Add. 14,680	Add.14-680	1#77-78	CXXII	122	Approx. 12c-13c	536				Tucker	Drafted and edited	Tucker, 3/21/2014
Add. 14,681	Add.14-681	1#78-79	CXXIII	123	Approx. 12c-13c	537				Tucker	Drafted and edited	Tucker, 3/21/2014
Add. 14,682	Add.14-682	2#608-610	DCCXIII	713	Approx. 10c	538				Daniel 	Drafted	
Add. 14,685	Add.14-685	3#1062-1064	DCCCCXXI	921	Approx. 10c-11c	543				Stephanie	Drafted	
Add. 14,687	Add.14-687	1#172-173	CCXXIX	229	1256	545				Stephanie	Drafted	
Add. 14,688	Add.14-688	1#188-190	CCXLVII	247	Approx. 12c-13c	546				Anna	Drafted and edited	Jessie, 05/14/20
Add. 14,689	Add.14-689	1#167-169	CCXXVII	227	1221	547				Anna	Drafted and edited	Jessie, 05/14/20
Add. 14,690	Add.14-690	1#205-207	CCLXI	261	1182	548				Anna	Drafted and edited	Jessie, 05/14/20
Add. 14,691, foll. 110-114	Add.14-691-foll.110-114	1#95	CL	150	Approx. 13c	551				Tucker	Drafted and edited	Tucker, 3/21/2014
Add. 14,695	Add.14-695	1#285-286	CCCXLI	341	Approx. 11c-12c	561				Anna	Drafted and edited	Jessie, 05/21/20
Add. 14,696	Add.14-696	1#289-290	CCCXLIV	344	Approx. 13c	562				Anna	Drafted and edited	Jessie, 05/14/20
Add. 14,697	Add.14-697	1#286-288	CCCXLII	342	Approx. 12c (late)	563				Anna	Drafted and edited	Jessie, 05/14/20
Add. 14,698	Add.14-698	1#288-289	CCCXLIII	343	Approx. 12c-13c	564				Anna	Drafted and edited	Jessie, 05/16/20
Add. 14,699	Add.14-699	1#304-306	CCCLXXIV	374	1292	565				Lindsay R.	Drafted and edited	Jessie, 05/16/20
Add. 14,700	Add.14-700	1#306	CCCLXXV	375	1292	566				Lindsay R.	Drafted and edited	Jessie, 05/16/20
Add. 14,702	Add.14-702	1#309-310	CCCLXXXV	385	Approx. 15c/1489	568				Lindsay R.	Drafted	Will, 02/03/2020
Add. 14,703	Add.14-703	1#370-371	CCCCLXVII	467	Approx. 12c-13c	569				Lindsay R.	Drafted and edited	Jessie, 05/16/20
Add. 14,704	Add.14-704	1#312-313	CCCXCIII	393	Approx. 13c	570				Lindsay R.	Drafted and edited	Jessie, 05/16/20
Add. 14,705	Add.14-705	1#181-182	CCXLV	245	Approx. 11c	571				Lindsay R.	Drafted and edited	Jessie, 05/21/20
Add. 14,707	Add.14-707	1#277-278	CCCXXXIV	334	Approx. 13c (early)	573				Anna	Drafted and edited	Jessie, 05/21/20
Add. 14,710	Add.14-710	1#325	CCCCXV	440	1259	582				Anna	Drafted	Jessie
Add. 14,712	Add.14-712	1#291-292	CCCXLVI	346	Approx. 13c	584				Lindsay R.	Drafted	Jessie
Add. 14,714	Add.14-714	1#346-347	CCCCXXX	430	1075	586				Anna	Drafted and edited	Jessie, 05/22/2020
Add. 14,717, foll. 59-102	Add.14-717-foll.59-102	1#311	CCCLXXXVII	387	Approx. 13c	596				Jacob	Drafted and edited	Jessie, 06/03/20
Add. 14,717, foll. 103-130	Add.14-717-foll.103-130	1#307	CCCLXXIX	379	Approx. 13c-14c	597				Jacob	Drafted and edited	Jessie, 06/03/20
Add. 14,733	Add.14-733	3#1139-1140	DCCCCLXI	961	1199	643				Peter	Drafted	
Add. 14,736, foll. 1, 2	Add.14-736-foll.1-2	2#591	DCCV	705	Approx. 13c-14c	653				Will Potter	Drafted	
Add. 14,736, fol. 3	Add.14-736-fol.3	2#1026	DCCCCIV	904	Approx. 13c	654				Will Potter	Drafted	
Add. 14,736, foll. 4-9	Add.14-736-foll.4-9	2#416	DXLV	545	Approx. 13c	655				Will Potter	Drafted	
Add. 14,736, foll. 10, 11	Add.14-736-foll.10-11	2#517	DCLXIX	669	Approx. 12c-13c	656				Will Potter	Drafted	
Add. 14,736, fol. 12	Add.14-736-fol.12	3#1153	DCCCCLXXXV	985	Approx. 14c	657				Will Potter	Drafted	
Add. 14,736, foll. 13-21	Add.14-736-foll.13-21	1#174	CCXXXI	231	Approx. 13c	658				Will Potter	Drafted	
Add. 14,736, foll. 22-32	Add.14-736-foll.22-32	2#1022	DCCCLXXVIII	878	Approx. 13c	659				Will Potter	Drafted	
Add. 14,736, fol. 33	Add.14-736-fol.33	1#210	CCLXVIII	268	Approx. 13c	660				Will Potter	Drafted	
Add. 14,736, fol. 34	Add.14-736-fol.34	1#210	CCLXIX	269	Approx. 13c	661				Will Potter	Drafted	
Add. 14,736, foll. 35-47	Add.14-736-foll.35-47	1#303	CCCLXX	370	Approx. 12c-13c	662				Will Potter	Drafted	
Add. 14,736, fol. 48	Add.14-736-fol.48	1#396	DXIX	519	Approx. 13c	663				Will Potter	Drafted	
Add. 14,736, foll. 49-52	Add.14-736-foll.49-52	1#390	DX	510	1483	664				Will Potter	Drafted	
Add. 14,736, foll. 53-55	Add.14-736-foll.53-55	1#296	CCCLVII	357	Approx. 13c	665				Will Potter	Drafted	
Add. 14,736, foll. 56, 57	Add.14-736-foll.56-57	1#378	CCCCLXXXII	482	Approx. 15c	666				Will Potter	Drafted	
Add. 14,736, fol. 58	Add.14-736-fol.58	1#378	CCCCLXXXIII	483	Approx. 15c	667				Will Potter	Drafted	
Add. 14,736, fol. 59	Add.14-736-fol.59	1#378	CCCCLXXXIV	484	Approx. 15c	668				Will Potter	Drafted	
Add. 14,736, fol. 60	Add.14-736-fol.60	1#391	DXII	512	Approx. 15c	669				Will Potter	Drafted	
Add. 14,736, foll. 61-63	Add.14-736-foll.61-63	1#301	CCCLXV	365	Approx. 15c	670				Will Potter	Drafted	
Add. 14,736, foll. 64, 65	Add.14-736-foll.64-65	1#315-316	CCCXCIX	399	1492	671				Will Potter	Drafted	
Add. 14,736, fol. 66	Add.14-736-fol.66	1#316	CCCCII	402	Approx. 16c	672				Will Potter	Drafted	
Add. 14,738, fol. 1	Add.14-738-fol.1	1#7	VIII	8	Approx. 14c	694				Daniel	Drafted and edited	Tucker, 12/27
Add. 14,738, foll. 6, 7	Add.14-738-foll.6-7	1#83	CXXX	130	Approx. 13c	696				Daniel	Drafted and edited	Tucker, 12/27
Add. 14,738, foll. 8, 9	Add.14-738-foll.8-9	1#95-96	CLII	152	Approx. 13c-14c	697				Daniel	Drafted and edited	Tucker, 12/27
Add. 17,102	Add.17-102	1#11-12	XVII	17	599	729				Daniel	Drafted and edited	Tucker, 9/4
Add. 17,103	Add.17-103	1#32-33	LII	52	Approx. 8c	730				Daniel	Drafted and edited	Tucker, 9/4
Add. 17,104	Add.17-104	1#16-17	XXV	25	Approx. 6c	731				Daniel	Drafted and edited	Tucker, 9/6
Add. 17,106, foll. 1-73	Add.17-106-foll.1-73	1#23	XXXVII	37	Approx. 6c-7c	734				Tucker	Drafted	
Add. 17,106, foll. 74-87	Add.17-106-foll.74-87	1#28	XLVII	47	Approx. 7c	735				Tucker	Drafted	
Add. 17,107	Add.17-107	1#23-24	XXXVIII	38	541	736				Tucker	Drafted	
Add. 17,108	Add.17-108	1#18	XXIX	29	Approx. 6c	737				Daniel	Drafted and edited	Tucker, 8/29
Add. 17,113	Add.17-113	1#48-49	LXXII	72	Approx. 6c-7c	742				Tucker	Drafted	
Add. 17,114	Add.17-114	1#45-46	LXVIII	68	Approx. 6c-7c	743				Tucker	Drafted	
Add. 17,115	Add.17-115	1#66	XCVI	96	Approx. 6c	744				Daniel	Drafted and edited	Tucker, 12/27
Add. 17,116	Add.17-116	1#65	XCIII	93	Approx. 6c	745				Tucker	Drafted	
Add. 17,117	Add.17-117	1#64	XCI	91	Approx. 5c-6c (early)	746				Tucker	Drafted	
Add. 17,118	Add.17-118	1#57-58	LXXXI	81	Approx. 8c-9c	747				Tucker	Drafted	
Add. 17,119	Add.17-119	1#71-72	CXII	112	Approx. 6c-7c	748				Daniel 	Drafted and edited	Tucker,12/30
Add. 17,120	Add.17-120	1#8	CXXVI	126	Approx. 6c	749				Tucker	Drafted	
Add. 17,121	Add.17-121	1#80-81	CXXVII	127	Approx. 6c	750				Tucker	Drafted	
Add. 17,122	Add.17-122	1#87-88	CXXXVII	137	Approx. 6c	751				Tucker	Drafted	
Add. 17,123	Add.17-123	1#93	CXLV	145	Approx. 9c-10c	752				Daniel 	Drafted and edited	Tucker, 12/30
Add. 17,124	Add.17-124	1#42-44	LXV	65	1234	753				Tucker	Drafted	
Add. 17,126	Add.17-126	2#526	DCLXXIV	674	511	755				Susannah	Drafted and edited	Justin, 10/1/2014
Add. 17,133	Add.17-133	1#324	CCCCXII	412	Approx. 11c	762				Jessie	Drafted	
Add. 17,134	Add.17-134	1#330-339	CCCCXXI	421	675	763				Peter	Drafted	
Add. 17,139	Add.17-139	1#343	CCCCXXVI	426	Approx. 10c-11c	768				Jessie	Drafted	
Add. 17,142	Add.17-142	3#1042	DCCCCXVII	917	Approx. 6c	771				Stephanie	Drafted	
Add. 17,143	Add.17-143	2#416	DXLVI	546	Approx. 5c	772				Justin	Drafted	
Add. 17,144	Add.17-144	2#652-654	DCCXXXII	732	Approx. 6c	773				Kayla	Drafted	
Add. 17,145	Add.17-145	2#418-419	DXLVIII	548	Approx. 8c-9c	774				Justin	Drafted	
Add. 17,146	Add.17-146	2#437-438	DLX	560	Approx. 6c-7c	775				Susannah	Drafted and edited	Justin, 10/1/2014
Add. 17,147	Add.17-147	2#438-440	DLXI	561	Approx. 8c-9c	776				Kayla	Drafted	
Add. 17,148	Add.17-148	2#717-718	DCCLVI	756	Approx. 7c	777				Julia	Drafted 	
Add. 17,149	Add.17-149	2#668-669	DCCXXXIX	739	Approx. 6c	778				Julia	Drafted and edited	Justin, 10/2/2014
Add. 17,150	Add.17-150	2#492-493	DCXXII	622	Approx. 7c-8c	779				Susannah	Drafted and edited	Justin, 10/6/2014
Add. 17,151	Add.17-151	2#490-491	DCXIX	619	Approx. 7c	780				Sung Uk	Drafted and edited	Justin, 10/13/2014
Add. 17,152	Add.17-152	2#477-478	DXCVI	596	594	781				Kayla	Drafted and edited	Justin, 10/7/2014
Add. 17,153	Add.17-153	2#531	DCLXXIX	679	Approx. 6c	782				Julia	Drafted and edited	Justin, 10/7/2014
Add. 17,154	Add.17-154	2#557-558	DCXCI	691	Approx. 7c	783				Kayla	Drafted and edited	Justin, 10/7/2014
Add. 17,155	Add.17-155	2#507-508	DCXXXIX	639	Approx. 6c-7c	784				Kayla	Drafted and edited	Justin, 10/9/2014
Add. 17,157	Add.17-157	2#504-505	DCXXXVI	636	565	789				Kayla	Drafted	
Add. 17,158, fol. 57	Add.17-158-fol.57	2#416	DXLIV	544	Approx. 8c	793				Erin	Drafted	
Add. 17,159, foll. 1-63	Add.17-159-foll.1-63	2#511	DCXLV	645	Approx. 7c	795				Training Group: Susannah, Julia, Sung Uk, Kayla	Drafted and edited	Justin, 10/13/2014
Add. 17,160, foll. 1-18	Add.17-160-foll.1-18	2#512-513	DCL	650	Approx. 7c	798				Julia 	Drafted	
Add. 17,160, foll. 19-23	Add.17-160-foll.19-23	2#481-482	DCIV	604	Approx. 6c-7c	799				Justin	Drafted	
Add. 17,160, foll. 24-26	Add.17-160-foll.24-26	2#1018	DCCCLXIX	869	Approx. 8c	800				Justin	Drafted	
Add. 17,160, fol. 27	Add.17-160-fol.27	2#1025	DCCCLXXXIX	889	Approx. 7c	801				Justin	Drafted	
Add. 17,160, fol. 28	Add.17-160-fol.28	2#1024	DCCCLXXXIII	883	Approx. 6c-7c	802				Justin	Drafted	
Add. 17,160, foll. 29, 30	Add.17-160-foll.29-30	1#235-236	CCCIII	303	789	803				Justin	Drafted	
Add. 17,161	Add.17-161	2#505-506	DCXXXVII	637	Approx. 6c	804				Kayla	Drafted	
Add. 17,163, foll. 1-48	Add.17-163-foll.1-48	2#524-526	DCLXXIII	673	Approx. 7c	809				Peter	Drafted	
Add. 17,163, foll. 49-53	Add.17-163-foll.49-53	2#1018	DCCCLXX	870	Approx. 9c	810				Peter	Drafted	
Add. 17,166	Add.17-166	2#658-660	DCCXXXVII	737	Approx. 6c	813				Peter	Drafted	
Add. 17,170	Add.17-170	2#454-458	DLXXIII	573	774-5	820				Jessie	Drafted	
Add. 17,171, foll. 1-16	Add.17-171-foll.1-16	2#657	DCCXXXV	735	Approx. 6c	822				Julia	Drafted	Justin, 10/9/2014
Add. 17,171, foll. 17-23	Add.17-171-foll.17-23	2#513	DCLII	652	Approx. 8c	823				Erin	Drafted	Justin 3/18/2015
Add. 17,172	Add.17-172	2#759-762	DCCLXXX	780	819-830	824				Jessie	Drafted and edited	Lindsay 5/19/2020
Add. 17,173	Add.17-173	2#726-729	DCCLXII	762	Approx. 7c	825				Jessie	Drafted and edited	Anna 5/2/20
Add. 17,174	Add.17-174	3#1074-1076	DCCCCXXVIII	928	929	826				Jessie	Drafted and edited	Lindsay 5/19/2020
Add. 17,175	Add.17-175	3#1080	DCCCCXXXII	932	Approx. 10c	827				Jessie	Drafted and edited	Anna 5/2/20
Add. 17,176	Add.17-176	3#1072-1073	DCCCCXXIV	924	532	828				Jessie	Drafted and edited	Lindsay 5/19/2020
Add. 17,177	Add.17-177	3#1073-1074	DCCCCXXV	925	Approx. 6c	829				Jessie	Drafted and edited	Anna 5/2/20
Add. 17,178	Add.17-178	2#855-857	DCCCXXVIII	828	Approx. 11c-12c	830				Jessie	Drafted and edited	Lindsay 5/19/2020
Add. 17,179	Add.17-179	2#857-858	DCCCXXIX	829	Approx. 11c-12c	831				Jessie	Drafted and edited	Anna 5/2/20
Add. 17,180	Add.17-180	2#851-853	DCCCXXVI	826	Approx. 11c	832				Jessie	Drafted and edited	Lindsay 5/30/20
Add. 17,182, foll. 1-99	Add.17-182-foll.1-99	2#403-404	DXXIX	529	474	835				Justin	Drafted	
Add. 17,182, foll. 100-174	Add.17-182-foll.100-174	2#404-405	DXXX	530	512	836				Justin	Drafted	
Add. 17,184	Add.17-184	2#509-510	DCXLI	641	Approx. 6c-7c	838				Jessie	Drafted	
Add. 17,185	Add.17-185	2#838-840	DCCCXXII	822	Approx. 10c-11c	839				Jessie	Drafted and edited	Anna 5/2/20
Add. 17,186	Add.17-186	2#420-421	DLI	551	Approx. 6c	840				Justin	Drafted	
Add. 17,187	Add.17-187	2#605	DCCVIII	708	Approx. 10c	841				Daniel	Drafted	
Add. 17,188	Add.17-188	2#620-622	DCCXXI	721	Approx. 10c-11c	842				Jessie	Drafted and edited	Lindsay 5/19/2020
Add. 17,189, foll. 1-16	Add.17-189-foll.1-16	2#407	DXXXIV	534	Approx. 5c-6c	844				Justin	Drafted	
Add. 17,189, foll. 17-21	Add.17-189-foll.17-21	2#1016	DCCCLXV	865	Approx. 6c	845				Justin	Drafted	
Add. 17,190	Add.17-190	1#243-244	CCCVII	307	893	846				Jessie	Drafted and edited	Lindsay 5/19/2020
Add. 17,192	Add.17-192	2#778-781	DCCLXXXIX	789	Approx. 9c	848				Jessie	Drafted and edited	Anna 5/2/20
Add. 17,196	Add.17-196	2#776-777	DCCLXXXVII	787	Approx. 6c	852				Jessie	Drafted	Will
Add. 17,197, foll. 1-25	Add.17-197-foll.1-25	2#440-441	DLXII	562	Approx. 9c-10c	854				Daniel	Drafted	
Add. 17,197, foll. 26-46	Add.17-197-foll.26-46	2#606-608	DCCXI	711	Approx. 9c-10c	855				Daniel	Drafted	
Add. 17,199	Add.17-199	2#612-613	DCCXV	715	Approx. 8c	857				Daniel	Drafted	
Add. 17,201, foll. 1-15	Add.17-201-foll.1-15	2#690	DCCXLIX	749	Approx. 6c-7c	860				Peter	Drafted and edited	Will P., 03/03/2020
Add. 17,201, foll. 16-21	Add.17-201-foll.16-21	2#458	DLXXIV	574	Approx. 8c	861				Peter	Drafted and edited	Will P., 03/03/2020
Add. 17,201, foll. 22-25	Add.17-201-foll.22-25	3#1149	DCCCCLXXIII	973	Approx. 7c-8c	862				Peter	Drafted and edited	Will P., 03/03/2020
Add. 17,201, foll. 26-32	Add.17-201-foll.26-32	2#465	DLXXXI	581	Approx. 9c-10c	863				Peter	Drafted and edited	Will P., 03/03/2020
Add. 17,203	Add.17-203	3#1151	DCCCCLXXX	980	Approx. 11c	865				Jessie	Drafted and edited	Lindsay 5/20/2020
Add. 17,204	Add.17-204	3#1081	DCCCCXXXIV	934	Approx. 5c	866				James	drafted	
Add. 17,205	Add.17-205	3#1087	DCCCCXXXVIII	938	Approx. 6c	867				Jessie	Drafted and edited	Lindsay 5/30/20
Add. 17,207	Add.17-207	1#365-366	CCCCLIII	453	Approx. 8c-9c	869				Jessie	Drafted and edited	Lindsay 5/28/2020
Add. 17,209	Add.17-209	3#1184-1186	MIII	1003	Approx. 9c	871				Jessie	Drafted and edited	Lindsay 5/20/2020
