Shelf-mark	Shelf-mark-as-id	Catalog pp# (volume#pages)	Wright’s Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:
Add. 12,175, foll. 49-80	Add.12-175-foll.49-80	2#657-658	DCCXXXVI	736	Approx. 6c	73				Julia	Drafted	Justin 1/20/2015
Add. 12,175, foll. 81-254	Add.12-175-foll.81-254	2#633-638	DCCXXVII	727	534	74				Julia	Drafted	Justin 3/10/2015
Add. 12,176	Add.12-176	2#409-410	DXXXVII	537	Approx. 5c-6c	75				Justin	Drafted	
Add. 12,177	Add.12-177	1#58-60	LXXXIII	83	1189	76				Tucker	Drafted and edited	Daniel 8/24
Add. 12,179	Add.12-179	1#321-324	CCCCX	410	Approx. 11c-12c	78				Anna	Drafted and edited	Lindsay 4/19/2020
Add. 12,180	Add.12-180	2#474-475	DXCII	592	Approx. 6c- Approx. 7c	79				Lewis	Drafted and edited	Justin 4/13/2015
Add. 12,181	Add.12-181	2#558-564	DCXCII	692	Approx. 8c	80				Jessie	Drafted and edited	Anna 3/20/20
Add. 14,425	Add.14-425	1#3-5	III	3	464	81		12		Daniel	Drafted and edited	Tucker, 12/31
Add. 14,426	Add.14-426	1#6	V	5	Approx. 6c-7c	82				Daniel	Drafted and edited	Tucker, 8/15
Add. 14,427	Add.14-427	1#5-6	IV	4	Approx. 6c	83				Tucker	Drafted and edited	Tucker, 11/9
Add. 14,428	Add.14-428	1#9-10	XI	11	724	84				Daniel	Drafted and edited	Tucker, 8/16
Add. 14,429	Add.14-429	1#37-39	LX	60	719	85				Tucker	Drafted and edited	Daniel 8/24
Add. 14,430	Add.14-430	1#15-16	XXIV	24	724	86				Daniel	Drafted and edited	Tucker, 8/17
Add. 14,431	Add.14-431	1#14-15	XXII	22	545	87				Daniel	Drafted and edited	Tucker, 8/17
Add. 14,434, foll. 1-79	Add.14-434-foll.1-79	1#35-36	LIV	54	Approx. 8c (early)	91				Daniel	Drafted and edited	Tucker, 8/24
Add. 14,434, foll. 80-128	Add.14-434-foll.80-128	1#36-37	LV	55	Approx. 8c	92				Daniel	Drafted and edited	Tucker, 8/24
Add. 14,435	Add.14-435	1#122-123	CLXXI	171	Approx. 9c	93				Anna	Drafted and edited	Lindsay, 4/19/2020
Add. 14,437, foll. 1-46	Add.14-437-foll.1-46	1#31	L	50	Approx. 8c	98				Daniel	Drafted and edited	Tucker, 8/28
Add. 14,437, foll. 47-124	Add.14-437-foll.47-124	1#33-34	LIII	53	Approx. 8c	99				Daniel	Drafted and edited	Tucker, 8/28
Add. 14,438, foll. 1-49	Add.14-438-foll.1-49	1#10	XII	12	Approx. 6c	101				Tucker	Drafted and edited	Tucker, 11/16
Add. 14,438, foll. 53-101	Add.14-438-foll.53-101	1#13-14	XXI	21	Approx. 6c	102				Tucker	Drafted and edited	Tucker, 11/16
Add. 14,439	Add.14-439	1#13	XIX	19	Approx. 6c-7c	103				Daniel 	Drafted and edited	Tucker, 8/31
Add. 14,440	Add.14-440	1#10-11	XVI	16	Approx. 10c-11c	104				Daniel	Drafted and edited	Tucker, 9/4
Add. 14,441	Add.14-441	1#39	LXI	61	719	105				Tucker	Drafted and edited	Daniel 8/27
Add. 14,442, foll. 1-46	Add.14-442-foll.1-46	1#28-29	XLVIII	48	Approx. 7c	107				Daniel	Drafted and edited	Tucker, 8/30
Add. 14,442, foll. 47-65	Add.14-442-foll.47-65	1#15	XXIII	23	Approx. 6c-7c	108				Daniel	Drafted and edited	Tucker, 8/30
Add. 14,443, foll. 1-34	Add.14-443-foll.1-34	1#17	XXVI	26	Approx. 6c	110				Daniel	Drafted and edited	Tucker, 9/4
Add. 14,443, foll. 35-71	Add.14-443-foll.35-71	1#18	XXX	30	Approx. 6c-7c	111				Daniel	Drafted and edited	Tucker, 9/4
Add. 14,443, foll. 72-98	Add.14-443-foll.72-98	1#18	XXXI	31	Approx. 6c-7c	112				Daniel	Drafted and edited	Tucker, 9/4
Add. 14,443, foll. 99-144	Add.14-443-foll.99-144	1#27	XLII	42	Approx. 6c	113				Daniel	Drafted and edited	Tucker, 9/4
Add. 14,444, foll. 1-24	Add.14-444-foll.1-24	1#6	VI	6	Approx. 6c-7c	115				Tucker	Drafted and edited	Tucker, 11/16
Add. 14,444, foll. 25-38	Add.14-444-foll.25-38	1#8	X	10	Approx. 6c	116				Tucker	Drafted and edited	Tucker, 11/16
Add. 14,446	Add.14-446	1#98	CLV	155	Approx. 6c-7c	118				Tucker	Drafted and edited	Tucker, 12/31
Add. 14,447	Add.14-447	1#98	CLVI	156	Approx. 10c	119				Tucker	Drafted and edited	Tucker, 12/31
Add. 14,448	Add.14-448	1#41-42	LXIV	64	699-700	120				Tucker	Drafted and edited	Daniel, 9/2
Add. 14,449	Add.14-449	1#46-47	LXIX	69	Approx. 6c-7c	121				Tucker	Drafted and edited	Daniel, 9/2
Add. 14,450	Add.14-450	1#55	LXXIX	79	Approx. 7c	122				Tucker	Drafted and edited	Daniel, 9/4
Add. 14,453	Add.14-453	1#44-45	LXVI	66	Approx. 5c-6c	126				Tucker	Drafted and edited	Daniel, 9/4
Add. 14,454	Add.14-454	1#62	LXXXVII	87	Approx. 6c-7c	127				Tucker	Drafted and edited	Daniel, 9/4
Add. 14,455	Add.14-455	1#45	LXVII	67	Approx. 6c	128				Tucker	Drafted and edited	Daniel, 9/4
