	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 17,216, fol. 44	3#1150	DCCCCLXXVI	DXLVI	check		Add. 14,737, foll. 53,54	1#213	CCLXXX	cclxxx	#N/A	280	280	Approx. 15c	680							
Add. 17,203	3#1151	DCCCCLXXX	CXXXIX	check		Add. 17,269, foll. 81-88	1#213	CCLXXXI	cclxxxi	CCLXXXI	281	281	Approx. 15c	1096				Peter	Drafted		
Add. 14,670, foll. 23-25	3#1153	DCCCCLXXXIV	CCCCXXXVII	check		Add. 25,874	1#213-214	CCLXXXII	cclxxxii	CCLXXXII	282	282	1740	1143				Jessie	Drafted	Lindsay	
Add. 14,736, fol. 12	3#1153	DCCCCLXXXV	CCCCXCII	check		Harl. 5512	1#214-216	CCLXXXIII	cclxxxiii	CCLXXXIII	283	283	1549	1155				Jessie	Drafted	Lindsay	
Add. 14,658	3#1154-1160	DCCCCLXXXVII	CCCXCIV	check		Add. 14,494	1#217-218	CCLXXXIV	#N/A	CCLXXXIV	284	284	Approx. 9c-10c	184				Lindsay R.	Drafted and edited	Will, 01/31/2020	
Add. 17,216, fol. 43	2#1037	DCCCCX	DXLV	DCCCCX		Add. 14,667, foll, 17-28	1#225	CCLXXXIX	CCLXXXIX	#N/A	289	289	Approx. 10c-11c	465							
Add. 14,659	3#1163-1164	DCCCCXC	CCCXCV	DCCCCXC		Add. 14,518	1#218	CCLXXXV	CCLXXXV	CCLXXXV	285	285	Approx. 9c-10c	212				Kim	Drafted		
Add. 14,670, foll. 15-18	3#1164	DCCCCXCII	CCCCXXXV	DCCCCXCII		Add. 14,493	1#219-223	CCLXXXVI	CCLXXXVI	CCLXXXVI	286	286	Approx. 10c	183				Will Potter	Drafted and edited	Anna 5/2/20	
Add. 17,215, foll. 5, 6	3#1164-1165	DCCCCXCIII	CLVI	DCCCCXCIII		(Add. 14,496)	1#223-225	CCLXXXVII	CCLXXXVII	CCLXXXVII	287	287	Approx. 10c	186				Lindsay R.	Drafted and edited	Anna 5/2/20	Contains palimpsest - 3 older manuscripts - 1430-1433
Add. 17,215, foll. 7, 8 upper text	3#1165	DCCCCXCIV	CLVIII	DCCCCXCIV		Add. 14,496, palimpsest upper	1#223-225	CCLXXXVII	CCLXXXVII	CCLXXXVII	287	287	Approx. 10c	1430				Will Potter	Drafted	msParts, edit with full ms	cf. 186
Add. 17,215, foll. 7, 8 lower text	3#1165	DCCCCXCIV		DCCCCXCIV		Add. 14,496, palimpsest lower 1	1#223-225	CCLXXXVII	CCLXXXVII	CCLXXXVII	287	287	Approx. 6c-7c	1431				Will Potter	Drafted	msParts, edit with full ms	cf. 186
Add. 21,454	3#1165-1167	DCCCCXCV	DLXXIV	DCCCCXCV		Add. 14,496, palimpsest lower 2	1#223-225	CCLXXXVII	CCLXXXVII	CCLXXXVII	287	287	Approx. 6c	1432				Will Potter	Drafted	msParts, edit with full ms	cf. 186
Add. 23,597	3#1173-1174	DCCCCXCVIII	DLXXVIII	DCCCCXCVIII		Add. 14,496, palimpsest lower 3	1#223-225	CCLXXXVII	CCLXXXVII	CCLXXXVII	287	287	Approx. 7c	1433				Will Potter	Drafted	msParts, edit with full ms	cf. 186
Add. 14,639	3#1039-1040	DCCCCXI	CCCLXXXVI	found		Add. 14,525, foll. 56-75	1#225	CCLXXXVIII	CCLXXXVIII	#N/A	288	288	Approx. 10c	248							
Add. 14,541, fol. 52	3#1040	DCCCCXII	CCCI	found		Add. 14,666, foll. 33-36	1#141	CCV	CCV	#N/A	205	205	Approx. 12c-13c	453				Daniel	Framework established for a later stage		
Add. 14,643	3#1040-1041	DCCCCXIII	CCCLXXXIX	found		Add. 17,257, fol. 74	1#141	CCVI	CCVI	#N/A	206	206	Approx. 12c-13c	1056				Daniel	Framework established for a later stage		
Add. 17,216, fol. 1	3#1041	DCCCCXIV	DXXXVIII	found		Add. 17,257, foll. 1-21	1#141	CCVII	CCVII	#N/A	207	207	1248	1054				Daniel	Framework established for a later stage		
Add. 14,626	3#1087-1088	DCCCCXL	CCCLXVII	DCCCCXL		Add. 17,256, foll. 1-82	1#141-142	CCVIII	CCVIII	#N/A	208	208	1251	1051							
Add. 12,160, foll. 109-152	3#1090	DCCCCXLII	XXVII	DCCCCXLII		Add. 17,222	1#143	CCX	CCX	CCX	210	210	Approx. 13c	983				Jessie	Drafted and edited	Lindsay 5/28/2020	
Add. 12,160, foll. 153-185	3#1090-1091	DCCCCXLII	DCXXV	DCCCCXLII		Add. 17,128	1#226-227	CCXC	CCXC	#N/A	290	290	Approx. 10c-11c	757							
Add. 12,175, foll. 1-48	3#1100-1101	DCCCCXLVI	LII	DCCCCXLVI		Add. 14,495	1#227-228	CCXCI	CCXCI	CCXCI	291	291	Approx. 10c-11c	185				Aaron	Drafted and edited	Jessie, 05/30/2020	
Add. 17,216, foll. 2-14	3#1041	DCCCCXV	DXXXIX	found		Add. 14,667, foll. 29-38	1#228-229	CCXCII	CCXCII	#N/A	292	292	Approx. 10c-11c	466							
Add. 17,142	3#1042	DCCCCXVII	LXXIII	found		Add. 14,499	1#229-230	CCXCIII	CCXCIII	CCXCIII	293	293	Approx. 10c-11c	189				Aaron	Drafted and edited	Jessie, 05/30/2020	
Add. 14,641	3#1042-1046	DCCCCXVIII	CCCLXXXVIII	found		(Add. 14,500)	1#230	CCXCIV	CCXCIV	CCXCIV	294	294	Approx. 11c	190				Aaron	Drafted and edited	Jessie, 05/30/2020	Palimpsest
Add. 14,640	3#1061-1062	DCCCCXX	CCCLXXXVII	found		Add. 14,500, lower text	1#230	CCXCIV	CCXCIV	CCXCIV	294	294	Approx. 7c	1395				Aaron	Drafted		
Add. 14,685	3#1062-1064	DCCCCXXI	CCCCLX	found		Add. 14,500, upper text	1#230	CCXCIV	CCXCIV	CCXCIV	294	294	Approx. 11c	1396				Aaron	Drafted		
Add. 12,173	3#1070-1072	DCCCCXXIII	L	found		Add. 14,522, foll. 27-36	1#233	CCXCIX	CCXCIX	CCXCIX	299	299	Approx. 10c-11c	219				Peter	Drafted		
Add. 17,176	3#1072-1073	DCCCCXXIV	CXI	found		Add. 14,498	1#230-231	CCXCV	CCXCV	CCXCV	295	295	1133	188				Aaron	Drafted and edited	Jessie, 05/30/2020	duplicate of Eustathius in Syriaca
Add. 17,177	3#1073-1074	DCCCCXXV	CXII	found		Add. 14,497	1#231-232	CCXCVI	CCXCVI	CCXCVI	296	296	Approx. 11c-12c	187				Aaron	Drafted and edited	Jessie, 05/30/2020	
Add. 14,676, foll. 43-86	3#1074	DCCCCXXVI	CCCCLII	found		Add. 17,218, foll, 53, 54	1#233	CCXCVII	CCXCVII	#N/A	297	297	Approx. 8c	966				Tucker	Framework established for a later stage		
Add. 17,215, foll. 46, 47	3#1074	DCCCCXXVII	DXXXIII	found		Add. 14,667, foll, 13-16	1#233	CCXCVIII	#N/A	#N/A	298	298	Approx. 9c-10c	464							
Add. 17,174	3#1074-1076	DCCCCXXVIII	CIX	found		Add. 14,524, foll. 7-11	1#143	CCXI	CCXI	#N/A	211	211	Approx. 13c	237				Tucker	Framework established for a later stage		
Add. 17,264	3#1078-1079	DCCCCXXX	DXXXIV	found		Add. 17,257, fol. 80	1#143	CCXII	CCXII	#N/A	212	212	Approx. 13c	1060				Daniel	Framework established for a later stage		
Add. 17,263	3#1079-1080	DCCCCXXXI	DXXXIII	found		Add. 17,257, fol. 75	1#143	CCXIII	CCXIII	#N/A	213	213	Approx. 13c	1057				Daniel	Framework established for a later stage		
Add. 17,175	3#1080	DCCCCXXXII	CX	found		Add. 17,257, foll. 22-73	1#143-144	CCXIV	CCXIV	#N/A	214	214	Approx. 13c-14c	1055				Daniel	Framework established for a later stage		
Add. 17,204	3#1081	DCCCCXXXIV	CXL	fixed		Add. 17,217, fol. 54	1#146	CCXIX	#N/A	#N/A	219	219	Approx. 6c-7c	948				Daniel	Framework established for a later stage		
Add. 14,646, foll. 134-194, upper text	3#1087	DCCCCXXXIX	CCCXCII	DCCCCXXXIX		Add. 17,218, foll. 91-96	1#177	CCXL	CCXL	#N/A	240	240	Approx. 12c	978				Tucker	Framework established for a later stage		
Add 14,646, foll. 183-194, lower text	3#1087	DCCCCXXXIX		DCCCCXXXIX		Add. 17,224, fol. 75	1#178	CCXLI	CCXLI	#N/A	241	241	Approx. 13c	999				Tucker	Framework established for a later stage		
Add. 14,654	3#1081-1083	DCCCCXXXV	CCCXCIII	fixed		Add. 14,739, foll. 19-22	1#178	CCXLII	CCXLII	#N/A	242	242	Approx. 13c-14c	725							
Add. 14,646, foll. 1-133	3#1086-1087	DCCCCXXXVII	CCCXCI	DCCCCXXXVII		Add. 14,492	1#178-179	CCXLIII	CCXLIII	CCXLIII	243	243	862	182				Will Potter	Drafted and edited	Anna 5/2/20	
Add. 17,205	3#1087	DCCCCXXXVIII	CXLI	DCCCCXXXVIII		Add. 14,491	1#179-181	CCXLIV	CCXLIV	CCXLIV	244	244	Approx. 9c-10c	181				Peter	Drafted		
Add. 18,817, foll. 1-136	2#803-806	DCCCI	DCXLVI	DCCCI		Add. 17,224, foll. 34, 35	1#194	CCXLIX	CCXLIX	#N/A	249	249	Approx. 12c-13c	990				Tucker	Framework established for a later stage		
Add. 18,817, foll. 137-154, upper text	2#803-806	DCCCI	DCXLVII	DCCCI		Add. 14,705	1#181-182	CCXLV	#N/A	CCXLV	245	245	Approx. 11c	571				Lindsay R.	Drafted and edited	Jessie, 05/21/20	
Add. 18,817, foll. 137-154, upper text	2#803-806	DCCCI	DCLXXXII	DCCCI		Add. 17,923	1#182-188	CCXLVI	CCXLVI	#N/A	246	246	11c	1111							
Add. 14,588	2#806-807	DCCCIII	cccxlVi	DCCCIII		Add. 14,688	1#188-190	CCXLVII	CCXLVII	CCXLVII	247	247	Approx. 12c-13c	546				Anna	Drafted and edited	Jessie, 05/14/20	Coptic in the word docx
Add. 17,217, foll. 57, 58	2#818	DCCCIX	DCCCLXIII	found		Egerton 681	1#190-194	CCXLVIII	CCXLVIII	#N/A	248	248	1206-07	1151							
Add. 17,160, foll. 24-26	2#1018	DCCCLXIX	XCIII	DCCCLXIX		Add. 17,257, foll. 76-78	1#144	CCXV	CCXV	#N/A	215	215	Approx. 13c-14c	1058				Daniel	Framework established for a later stage		
Add. 17,189, foll. 17-21	2#1016	DCCCLXV	CXXVI	DCCCLXV		Add. 17,257, fol. 81	1#144	CCXVI	CCXVI	#N/A	216	216	Approx. 14c	1061				Daniel	Framework established for a later stage		
Add. 17,215, foll. 30-33	2#1016	DCCCLXVI	DXXIX	DCCCLXVI		Add. 14,723, foll. 66-113	1#144-145	CCXVII	CCXVII	#N/A	217	217	Approx. 13c	610							
Add. 14,537	2#1017-1018	DCCCLXVIII	CCXCIV	DCCCLXVIII		Add. 17,221	1#145	CCXVIII	CCXVIII	CCXVIII	218	218	Approx. 14c-15c	982				Jessie	Drafted and edited	Lindsay 5/28/2020	
Add. 17,163, foll. 49-53	2#1018	DCCCLXX	C	DCCCLXX		Add. 14,485	1#146-149	CCXX	CCXX	CCXX	220	220	824	175				Kim	Drafted and edited		
Add. 17,215, foll. 1-4	2#1018-1019	DCCCLXXII	CLV	DCCCLXXII		(Add. 14,486)	1#149-152	CCXXI	CCXXI	CCXXI	221	221	824	176				Anna	Drafted and edited	Lindsay 04/30/2020	
Add. 17,272, foll. 68-74	2#1022-1023	DCCCLXXIX	DLV	DCCCLXXIX		Add. 14,486 upper text	1#149-152	CCXXI	CCXXI	CCXXI	221	221	824	1447				Will Potter	Drafted	msParts, edit with full ms	cf. 176
Add. 14,736, foll. 22-32	2#1022	DCCCLXXVIII		DCCCLXXVIII		Add. 14,486, foll. 1, 3, 8 lower text	1#149-152	CCXXI	CCXXI	CCXXI	221	221	824	1448				Will Potter	Drafted	msParts, edit with full ms	cf. 176
Add. 17,217, fol. 52	2#1024	DCCCLXXXI	DLXXXII	DCCCLXXXI		Add. 14,487	1#152-154	CCXXII	CCXXII	CCXXII	222	222	824	177				Anna	Drafted and edited	Lindsay 03/26/2020	Contains palimpsest - needs extra encoding
Add. 17,160, fol. 28	2#1024	DCCCLXXXIII	XCV	DCCCLXXXIII		Add. 14,487 upper text	1#152-154	CCXXII	CCXXII	CCXXII	222	222	824	1442				Will Potter	Drafted	msParts, edit with full ms	cf. 177
Add. 17,217, fol. 50	2#1024	DCCCLXXXIV	DLXXX	DCCCLXXXIV		Add. 14,487 lower text	1#152-154	CCXXII	CCXXII	CCXXII	222	222		1443				Will Potter	Drafted	msParts, edit with full ms	cf. 177
Add. 17,160, fol. 27	2#1025	DCCCLXXXIX	XCIV	DCCCLXXXIX		Add. 17,218, foll. 23-40	1#154	CCXXIII	CCXXIII	#N/A	223	223	Approx. 9c-10c	959				Tucker	Framework established for a later stage		
Add. 17,217, fol. 51	2#1024	DCCCLXXXV	DLXXXI	DCCCLXXXV		Add. 12,139	1#154-159	CCXXIV	CCXXIV	CCXXIV	224	224	1000	11				Jessie	Drafted		
Add. 17,217, fol. 40	2#1024	DCCCLXXXVI	DLXXIII	DCCCLXXXVI		Add. 14,687	1#172-173	CCXXIX	CCXXIX	CCXXIX	229	229	1256	545				Stephanie	Drafted		
Add. 17,217, fol. 48	2#1024-1025	DCCCLXXXVII	DLXXVIII	DCCCLXXXVII		Add. 14,490 upper text	1#159-161	CCXXV	CCXXV	CCXXV	225	225	1089	1411				Peter	Drafted		
Add. 17,217, fol. 49	2#1025	DCCCLXXXVIII	DLXXIX	DCCCLXXXVIII		Add 14,490 lower text	1#159-161	CCXXV	CCXXV	CCXXV	225	225		1412				Peter	Drafted		
Add. 17,215, foll. 9-21	2#810	DCCCV	CLIX	DCCCV		Add. 18,714	1#161-167	CCXXVI	CCXXVI	#N/A	226	226	1214	1115							
Add. 14,630, foll. 1-27	2#818-819	DCCCX	CCCLXX	fixed		Add. 14,689	1#167-169	CCXXVII	CCXXVII	CCXXVII	227	227	1221	547				Anna	Drafted and edited	Jessie, 05/14/20	italics
Add. 17,217, fol. 42	2#1025	DCCCXC	DLXXV	DCCCXC		Add. 14,686	1#169-172	CCXXVIII	CCXXVIII	#N/A	228	228	1255	544							
Add. 17,215, foll. 26, 27	2#1025	DCCCXCII	DXXXVII	DCCCXCII		Add. 17,224, foll. 22-33	1#173-174	CCXXX	CCXXX	#N/A	230	230	Approx. 13c	989				Tucker	Framework established for a later stage		
Add. 17,217, fol. 44	2#1025	DCCCXCIII	DLXXVII	DCCCXCIII		Add. 14,736, foll. 13-21	1#174	CCXXXI	CCXXXI	CCXXXI	231	231	Approx. 13c	658				Will Potter	Drafted		
Add. 17,217, fol. 53	2#1025-1026	DCCCXCV	DCCCLXII	DCCCXCV		Add. 14,738, fol. 10	1#174	CCXXXII	CCXXXII	#N/A	232	232	Approx. 13c	698				Daniel	Framework established for a later stage		
Add. 17,215, foll. 44, 45	2#1026	DCCCXCVI	DXXXII	DCCCXCVI		Add. 17,224, foll. 19-21	1#174-175	CCXXXIII	CCXXXIII	#N/A	233	233	Approx. 13c-14c	988				Tucker	Framework established for a later stage		
Add. 12,163, foll. 127-304	2#834-836	DCCCXIX	XXXII	DCCCXIX		Add. 14,737, foll. 11-17	1#175	CCXXXIV	CCXXXIV	#N/A	234	234	Approx. 14c	675							
Add. 12,163, foll. 127-224	2#834-836	DCCCXIX	DCXXIII	DCCCXIX		Add. 14,528, foll. 152-228	1#176-177	CCXXXIX	CCXXXIX	#N/A	239	239	Approx. 6c	255							
Add. 12,163, foll. 224-304	2#834-836	DCCCXIX	DCXXIV	DCCCXIX		Add. 14,737, foll. 1-10	1#175	CCXXXV	CCXXXV	#N/A	235	235	Approx. 15c	674							
Add. 17,267, foll. 9-12	2#884	DCCCXLIV	DXXXVIII	DCCCXLIV		Add. 14,709, foll. 75-94	1#175-176	CCXXXVI	CCXXXVI	#N/A	236	236	1484	581							
Add. 17,267, foll. 13-22	2#884-885	DCCCXLV	DXXXIX	DCCCXLV		Add. 14,635, foll. 21-24	1#176	CCXXXVII	CCXXXVII	CCXXXVII	237	237	Approx. 11c	394				Justin	Drafted		
Add. 17,267, foll. 23-33	2#885	DCCCXLVI	DXL	DCCCXLVI		Add. 17,213, fol. 40	1#176	CCXXXVIII	CCXXXVIII	CCXXXVIII	238	238	Approx. 13c	889				Tucker	Drafted		
Add. 17,267, foll. 34-49	2#885-886	DCCCXLVII	DXLI	DCCCXLVII		Add. 14,459, foll. 67-169	1#67-68	CI	CI	CI	101	101	530-540	134				Tucker	Drafted and edited	Tucker, 1/2/2014	
Add. 14,522, foll. 37-45	2#831	DCCCXVI	cclxxvii	DCCCXVI		Add. 14,459, fol. 74	1#68	CI	CI	CI	101	101	Approx. 6c	1172				Tucker	Drafted and edited	Tucker, 1/2/2014	
Add. 14,614, foll. 1-79	2#832-833	DCCCXVII	ccclxiii	DCCCXVII		Add. 14,461, foll. 108-212	1#68	CII	CII	CII	102	102	Approx. 9c-10c	138				Daniel	Drafted and edited	Tucker, 1/2/2014	
Add. 14,466, foll. 43-59	2#836-837	DCCCXX	CCXVI	DCCCXX		Add. 14,669, foll. 29-33	1#68-69	CIII	CIII	CIII	103	103	Approx. 6c-7c	505				Tucker	Drafted and edited	Tucker, 2/28/2014	
Add. 17,185	2#838-840	DCCCXXII	CXX	DCCCXXII		Add. 14,669, foll. 27, 28	1#69	CIV	CIV	CIV	104	104	Approx. 7c	504				Tucker	Drafted and edited	Tucker, 2/28/2014	
Add. 17,215, foll. 36-43	2#840	DCCCXXIII	DXXXI	DCCCXXIII		Add. 17,224, foll. 37-42	1#69-70	CIX	CIX	CIX	109	109	Approx. 13c	992				Daniel	Drafted and edited	Tucker, 12/30	
Add. 17,215, foll. 35 (fly-leaf)	2#840	DCCCXXIII		DCCCXXIII		Add. 14,691, foll. 110-114	1#95	CL	cl	CL	150	150	Approx. 13c	551				Tucker	Drafted and edited	Tucker, 3/21/2014	
Add. 17,179	2#857-858	DCCCXXIX	CXIV	DCCCXXIX		Add. 17,224, foll. 73, 74	1#95	CLI	cli	CLI	151	151	Approx. 13c-14c	998				Daniel	Drafted and edited	Tucker, 12/30	
Add. 12,165	2#842-851	DCCCXXV	XXXV	DCCCXXV		Add. 14,738, foll. 8, 9	1#95-96	CLII	CLII	CLII	152	152	Approx. 13c-14c	697				Daniel	Drafted and edited	Tucker, 12/27	
Add. 17,180	2#851-853	DCCCXXVI	CXV	fixed		Add. 17,228, foll. 1-37	1#96	CLIII	cliii	CLIII	153	153	Approx. 13c	1006				Tucker	Drafted		
Add. 17,178	2#855-857	DCCCXXVIII	CXIII	fixed		Add. 12,142, foll. 1-73	1#97-98	CLIV	#N/A	CLIV	154	154	Approx. 6c-7c	15				Daniel	Drafted and edited	Tucker, 12/31	
(Add. 17,206)	2#859-860	DCCCXXXI	CXLII	DCCCXXXI		Add. 14,484, foll. 9-11	1#99-100	CLIX	CLIX	CLIX	159	159	Approx. 10c-11c	171				Tucker	Drafted and edited	Tucker, 2/21/2014	
Add. 17,206, upper text	2#859-860	DCCCXXXI	DCLXVII	DCCCXXXI		Add. 14,484, foll. 9-11	1#99-100	CLIX	CLIX	CLIX	159	159	Approx. 9c	1181				Tucker	Drafted and edited	Tucker, 2/21/2014	
Add. 17,206, foll. 1-42, lower text	2#859-860	DCCCXXXI	DCLXVIII	DCCCXXXI		Add. 14,446	1#98	CLV	CLV	CLV	155	155	Approx. 6c-7c	118				Tucker	Drafted and edited	Tucker, 12/31	
Add. 17,206, foll. 43-87, lower text	2#859-860	DCCCXXXI	DCLXIX	DCCCXXXI		Add. 14,447	1#98	CLVI	CLVI	CLVI	156	156	Approx. 10c	119				Tucker	Drafted and edited	Tucker, 12/31	
Add. 14,670, foll. 2-7	2#588-589	DCCII	CCCCXXXI	found		Add. 14,484, foll. 12-47	1#98-99	CLVII	#N/A	CLVII	157	157	Approx. 6c	172				Tucker	Drafted and edited	Tucker, 2/21/2014	
Add. 12,169, foll. 1-178	2#589-590	DCCIII	XLI	found		Add. 14,484, foll. 1-8	1#99	CLVIII	CLVIII	CLVIII	158	158	Approx. 5c-6c	170				Tucker	Drafted and edited	Tucker, 2/21/2014	
Add. 14,670, foll. 19-22	2#690-691	DCCL	CCCCXXXVI	found		Add. 17,218, fol. 90	1#100	CLX	CLX	CLX	160	160	Approx. 10c	977				Tucker	Drafted		
Add. 14,612	2#696-701	DCCLIII	ccclxi	found		Add. 12,138	1#101-108	CLXI	#N/A	CLXI	161	161	899	10				Will Potter	Drafted and edited	Jessie, 05/22/2020	Check Arabic and how to put in dots/special line formatting on Exodus msItems
(Add. 12,162)	2#721-723	DCCLIX	XXIX	DCCLIX		Add. 12,178	1#108-111	CLXII	CLXII	#N/A	162	162	Approx. 9c-10c	77							
Add. 12,162, foll. 1-213, 216a	2#721-723	DCCLIX	DCLIX	DCCLIX		Add. 14,667, foll. 1-12	1#111	CLXIII	CLXIII	#N/A	163	163	Approx. 10c	463							
Add. 12,162, foll. 214, 215, 216a-230b	2#721-723	DCCLIX	DCLX	DCCLIX		Add. 17,162, foll. 1-14	1#111-112	CLXIV	CLXIV	#N/A	164	164	Approx. 10c-11c	806							
Add. 14,605	2#715-717	DCCLV	ccclv	DCCLV		Add. 14,436, foll. 1-76	1#119-120	CLXIX	CLXIX	#N/A	169	169	Approx. 8c-9c	95							
Add. 17,148	2#717-718	DCCLVI	LXXIX	DCCLVI		Add. 14,482	1#112-113	CLXV	CLXV	CLXV	165	165	Approx. 11c-12c	167				Anna	Drafted and edited	Lindsay, 4/19/2020	Greek Syllables need added in hand description
Add. 14,546	2#718-719	DCCLVII		DCCLVII		Add. 14,684, foll. 1-36	1#113	CLXVI	CLXVI	#N/A	166	166	Approx. 12c	541							
Add. 14,557	2#719-721	DCCLVIII	CCCXVII	DCCLVIII		Add. 14,684, foll. 37-117	1#113-115	CLXVII	CLXVII	#N/A	167	167	Approx. 12c-13c	542							
Add. 14,608, foll. 98-124	2#723-724	DCCLX	ccclx	DCCLX		Add. 17,110	1#116-119	CLXVIII	#N/A	#N/A	168	168	600 (at latest)	739							
Add. 17,173	2#726-729	DCCLXII	CVIII	DCCLXII		Add. 17,109	1#120-122	CLXX	CLXX	#N/A	170	170	873-874	738							
Add. 14,598	2#731-732	DCCLXIV	cccli	DCCLXIV		Add. 14,435	1#122-123	CLXXI	CLXXI	CLXXI	171	171	Approx. 9c	93				Anna	Drafted and edited	Lindsay, 4/19/2020	
Add. 14,531	2#738-740	DCCLXIX	CCXCII	DCCLXIX		Add. 14,666, foll. 4, 5	1#123	CLXXII	CLXXII	#N/A	172	172	Approx. 9c	449				Daniel	Framework established for a later stage		
Add. 14,608, foll. 1-97	2#733-734	DCCLXVI	ccclix	DCCLXVI		Add. 14,666, foll. 6-9	1#123	CLXXIII	CLXXIII	#N/A	173	173	Approx. 9c	450				Daniel	Framework established for a later stage		
Add. 18,814, foll. 1-102	2#734-736	DCCLXVII	DLXVI	DCCLXVII		Add. 14,666, foll. 10-12	1#123	CLXXIV	CLXXIV	#N/A	174	174	Approx. 9c-10c	451				Daniel	Framework established for a later stage		
(Add. 14,606)	2#744-745	DCCLXXII	ccclvi	DCCLXXII		Add. 17,112	1#127	CLXXIX	CLXXIX	#N/A	179	179	Approx. 10c-11c	741							
Add. 14,606, foll. 1-6	2#744-745	DCCLXXII		DCCLXXII		Add. 17,125	1#123-125	CLXXV	CLXXV	#N/A	175	175	Approx. 9c-10c	754				Jessie			
Add. 14,606, foll. 7-58, 60-136, 141-146	2#744-745	DCCLXXII		DCCLXXII		Add. 17,111	1#125-126	CLXXVI	CLXXVI	#N/A	176	176	927	740							
Add. 14,606, fol. 59	2#744-745	DCCLXXII		DCCLXXII		Add. 14,433	1#126	CLXXVII	CLXXVII	#N/A	177	177	Approx. 10c	89				DEMO			
Add. 14,606, foll. 137-140	2#744-745	DCCLXXII		DCCLXXII		Add. 14,436, foll. 77-129	1#126-127	CLXXVIII	CLXXVIII	#N/A	178	178	Approx. 10c	96							
Add. 14,614, foll. 80-127	2#745-746	DCCLXXIII	CCCLXIV	found		Add. 14,674, foll. 1-78	1#127-128	CLXXX	CLXXX	CLXXX	180	180	Approx. 12c	527				Peter	Drafted		
Add. 12,170, foll. 136-276	2#746-752	DCCLXXIV	XLIV	found		Add. 14,674, foll. 79-126	1#128	CLXXXI	CLXXXI	CLXXXI	181	181	Approx. 12c	528				Peter	Drafted		
Add. 12,170, foll. 277-279	2#752	DCCLXXV	XLV	found		Add. 14,676, foll. 1-42	1#128	CLXXXII	CLXXXII	CLXXXII	182	182	Approx. 12c	531				Peter	Drafted		
Add. 17,172	2#759-762	DCCLXXX	CVII	DCCLXXX		Add. 17,266, foll. 51-78	1#128-129	CLXXXIII	CLXXXIII	#N/A	183	183	Approx. 12c	1084							
Add. 17,192	2#778-781	DCCLXXXIX	CXXVIII	DCCLXXXIX		Add. 17,268	1#129	CLXXXIV	CLXXXIV	CLXXXIV	184	184	Approx. 12c	1092				Jessie	Drafted and edited	Lindsay 5/30/20	
Add. 12,167	2#769-774	DCCLXXXV	XXXIX	DCCLXXXV		Add. 14,678	1#132-133	CLXXXIX	CLXXXIX	CLXXXIX	189	189	1237	534				Anna	Drafted and edited	Jessie, 05/14/20	Note from the word .docx about cross shape in the syriac
Add. 18,821	2#775-776	DCCLXXXVI	DLXXI	found		Add. 17,257, foll. 82, 83	1#129	CLXXXV	CLXXXV	#N/A	185	185	Approx. 12c	1062				Daniel	Framework established for a later stage		
Add. 17,196	2#776-777	DCCLXXXVII	CXXIX	found		Add. 14,675	1#129-131	CLXXXVI	CLXXXVI	CLXXXVI	186	186	Approx. 13c	529				Peter	Drafted		
Add. 14,736, foll. 1, 2	2#591	DCCV	cccclxxxvii	found		Add. 14,677	1#131-132	CLXXXVII	#N/A	CLXXXVII	187	187	Approx. 13c	533				Anna	Drafted and edited	Jessie, 05/14/20	Syriac needs to be checked in 2 spots, noted by green notes
Add. 14,483	2#591	DCCVI	CCXXXVI	found		Add. 14,673	1#132	CLXXXVIII	#N/A	CLXXXVIII	188	188	Approx. 13c	525				Anna	Drafted and edited	Jessie, 05/14/20	
Add. 17,187	2#605	DCCVIII	CXXII	DCCVIII		Add. 14,666, fol. 48	1#69	CV	CV	CV	105	105	Approx. 10c	457				Daniel	Drafted and edited	Tucker, 12/26	
Add. 14,679	2#606	DCCX	CCCCLV	DCCX		Add. 14,466, foll. 1-10	1#69	CVI	CVI	CVI	106	106	Approx. 12c	144				Daniel	Drafted and edited	Tucker, 12/20	
Add. 17,213, foll. 21-39	2#781	DCCXC	cli	DCCXC		Add. 14,666, fol. 47	1#69	CVII	CVII	CVII	107	107	Approx. 12c	456				Daniel	Drafted and edited	Tucker, 12/26	
Add. 17,217, fol. 43	2#793	DCCXCVI	DLXXVI	DCCXCVI		Add. 14,669, fol. 26	1#69	CVIII	CVIII	CVIII	108	108	Approx. 12c	503				Tucker	Drafted and edited	Tucker, 2/28/2014	
Add. 18,814, foll. 103-262	2#793-796	DCCXCVII	DLXVII	DCCXCVII		Add. 14,464	1#70-71	CX	CX	CX	110	110	Approx. 6c	141				Daniel	Drafted and edited	Tucker, 12/17	
Add. 17,197, foll. 26-46	2#606-608	DCCXI	CXXXII	DCCXI		Add. 17,220	1#133-134	CXC	CXC	CXC	190	190	Approx. 13c	981				Jessie	Drafted and edited	Lindsay 5/28/2020	Check Arabic -- also last section is supposed to be in two columns, how would we format that? Also, question about Fol. 1 where to put this note about it not being a part of the volume?
