	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 17,139	1#343	CCCCXXVI	LXXII	CCCCXXVI		Add. 14,738, fol. 84	1#377	CCCCLXXVIII	cccclxxviii	#N/A	#N/A	478	Approx. 13c-14c	708				Daniel	Framework established for a later stage		
Add. 14,714	1#346-347	CCCCXXX	cccclxxxi	CCCCXXX		Add. 14,738, foll. 82, 83	1#377	CCCCLXXX	cccclxxx	#N/A	#N/A	480	Approx. 14c	707				Daniel	Framework established for a later stage		
Add. 14,523, foll. 47, 48	1#349	CCCCXXXIV	CCLXXXVIII	CCCCXXXIV		Add. 17,269, foll. 89-92	1#378	CCCCLXXXI	cccclxxxi	CCCCLXXXI	#N/A	481	Approx. 14c	1097				Peter	Drafted		
Add. 17,238	1#353-354	CCCCXXXIX	DCCCXCVI	CCCCXXXIX		Add. 14,736, foll. 56, 57	1#378	CCCCLXXXII	cccclxxxii	CCCCLXXXII	#N/A	482	Approx. 15c	666				Will Potter	Drafted		
Add. 17,247	1#350-351	CCCCXXXVI	DCCCCII	CCCCXXXVI		Add. 14,736, fol. 58	1#378	CCCCLXXXIII	cccclxxxiii	CCCCLXXXIII	#N/A	483	Approx. 15c	667				Will Potter	Drafted		
Add. 17,160, foll. 29, 30	1#235-236	CCCIII	XCVI	CCCIII		Add. 14,736, fol. 59	1#378	CCCCLXXXIV	cccclxxxiV	CCCCLXXXIV	#N/A	484	Approx. 15c	668				Will Potter	Drafted		
Sloane 3597	1#236-237	CCCIV	DLXXXVI	CCCIV		Add. 17,253, foll. 70-103	1#381	CCCCLXXXIX	#N/A	#N/A	#N/A	489	Approx. 13c	1047							
Add. 14,522, foll. 4-26	1#246-247	CCCIX	CCLXXV	CCCIX		Add. 14,664, fol. 34	1#378	CCCCLXXXV	cccclxxxv	CCCCLXXXV	485	485	Approx. 12c-13c	436				Tucker	Drafted and edited	Tucker, 2/21/2014	
Add. 14,523, fol. 38 upper text	1#294	CCCLI	CCLXXXVI	cccli		Add. 14,510	1#378-379	CCCCLXXXVI	cccclxxxvi	#N/A	#N/A	486	1056	204							
Add. 14,523, fol. 38 lower text		CCCLI		cccli		Add. 14,715, foll. 1-152	1#379-380	CCCCLXXXVII	cccclxxxvii	#N/A	#N/A	487	1257	588							
Add. 17,213, fol. 20	1#295-296	CCCLV	cl	ccclv		Add. 14,724, foll. 114-144	1#380-381	CCCCLXXXVIII	cccclxxxviii	#N/A	#N/A	488	Approx. 13c	613							
Add. 17,272, foll. 100-105	1#296	CCCLVI	DLVII	ccclvi		Add. 14,738, foll. 77, 78	1#316	CCCCV	CCCCV	#N/A	#N/A	405	Approx. 13c	705				Daniel	Framework established for a later stage		
Add. 14,736, foll. 53-55	1#296	CCCLVII	D	ccclvii		Add. 17,233, foll. 1-79	1#316-317	CCCCVI	CCCCVI	#N/A	#N/A	406	Approx. 13c	1017							
Add. 17,252	1#296-297	CCCLVIII	DCCCCVII	ccclviii		Add. 17,234	1#317-318	CCCCVII	CCCCVII	CCCCVII	#N/A	407	Approx. 13c	1019				Anna	Drafted and edited	Lindsay 5/28/2020	Oxygen keeps saying that the authors section cannot be validated because there are <foreign> elements in it, however, this is exactly how Wright writes the names of the authors
Add. 17,271	1#297-298	CCCLX	DL	ccclx		Add. 17,236	1#318-320	CCCCVIII	CCCCVIII	CCCCVIII	#N/A	408	1284	1021				Jessie	Drafted and edited	Lindsay 5/28/2020	The font changes in any case where you have a <persname> element and this makes the arabic text not show up in one part of addition 1. Check Arabic for accuracy. 
Add. 17,272, foll. 75-99	1#298	CCCLXI	DLVI	ccclxi		Add. 12,179	1#321-324	CCCCX	CCCCX	CCCCX	410	410	Approx. 11c-12c	78				Anna	Drafted and edited	Lindsay 4/19/2020	First addition needs to be checked, the whole note is in right to left direction
(Add. 14,718)	1#298-299	CCCLXIII	cccclxxxiV	ccclxiii		Add. 14,738, foll. 64-76	1#381	CCCCXC	CCCCXC	#N/A	#N/A	490	Approx. 13c-14c	704				Daniel	Framework established for a later stage		
Add. 14,718, upper text	1#298-299	CCCLXIII	DCLXI	ccclxiii		Add. 17,258, foll. 1-118	1#381	CCCCXCI	CCCCXCI	#N/A	#N/A	491	Approx. 13c-14c	1070							
Add. 14,718, lower text	1#298-299	CCCLXIII	DCLXII	ccclxiii		Add. 14,720, foll. 112-135	1#381-382	CCCCXCII	CCCCXCII	#N/A	#N/A	492	Approx. 14c	602							
Add. 17,231	1#299-301	CCCLXIV	DCCCXC	CCCLXIV		Add. 17,269, foll. 1-38	1#382	CCCCXCIII	CCCCXCIII	CCCCXCIII	#N/A	493	1499	1094				Peter	Drafted		
Add. 14,736, foll. 61-63	1#301	CCCLXV	DV	CCCLXV		Add. 17,129	1#383	CCCCXCIV	#N/A	#N/A	#N/A	494	Approx. 7c-8c	758							
Add. 17,245	1#301-302	CCCLXVI	DCCCCI	CCCLXVI		Add. 14,521	1#384	CCCCXCIX	CCCCXCIX	CCCCXCIX	#N/A	499	Approx. 10c	215				Kim	Drafted		
Add. 17,216, foll. 26, 27	1#302	CCCLXVIII	DXLI	CCCLXVIII		Add. 14,523, foll. 10-13	1#383-384	CCCCXCV	CCCCXCV	CCCCXCV	#N/A	495	Approx. 8c	226				Peter	Drafted		
Add. 14,736, foll. 35-47	1#303	CCCLXX	CCCCXCVII	CCCLXX		Add. 14,667, foll. 44, 45	1#384	CCCCXCVI	CCCCXCVI	#N/A	#N/A	496	Approx. 8c	470							
Add. 17,249	1#303-304	CCCLXXIII	DCCCCIV	CCCLXXIII		Add. 17,218, fol. 52	1#384	CCCCXCVII	CCCCXCVII	#N/A	#N/A	497	Approx. 9c	965				Tucker	Framework established for a later stage		
Add. 14,699	1#304-306	CCCLXXIV	CCCCLXXII	CCCLXXIV		Add. 17,218, foll. 48, 49	1#384	CCCCXCVIII	#N/A	#N/A	#N/A	498	Approx. 9c-10c	963				Tucker	Framework established for a later stage		
Add. 14,717, foll. 103-130	1#307	CCCLXXIX	cccclxxxiii	CCCLXXIX		Add. 17,272, foll. 106-112	1#324	CCCCXI	CCCCXI	CCCCXI	#N/A	411	Approx. 13c	1107				Peter	Drafted		
Add. 14,700	1#306	CCCLXXV	cccclxxiii	CCCLXXV		Add. 17,133	1#324	CCCCXII	CCCCXII	CCCCXII	#N/A	412	Approx. 11c	762				Jessie	Drafted		
Add. 17,237	1#306-307	CCCLXXVIII	DCCCXCV	CCCLXXVIII		Add. 14,522, foll. 1-3	1#324	CCCCXIII	CCCCXIII	CCCCXIII	#N/A	413	Approx. 11c	217				Peter	Drafted		
Add. 14,702	1#309-310	CCCLXXXV	cccclxxiV	CCCLXXXV		Add. 14,508	1#324-325	CCCCXIV	CCCCXIV	#N/A	#N/A	414	Approx. 11c-12c	202				Daniel			
Add. 14,717, foll. 59-102	1#311	CCCLXXXVII	cccclxxxii	CCCLXXXVII		Add. 17,258, foll. 119-190	1#328	CCCCXIX	CCCCXIX	#N/A	#N/A	419	Approx. 13c	1071							
Add. 17,272, foll. 1-29	1#311	CCCLXXXVIII	DLII	CCCLXXXVIII		Add. 17,244	1#354	CCCCXL	CCCCXL	CCCCXL	#N/A	440	Approx. 13c	1033				Jessie	Drafted and edited	Lindsay 5/29/2020	Another question of if it is possible to format it so that letters appear over one another
Egerton 703	1#237-239	CCCV	DLXXXII	CCCV		Add. 17,251	1#354-355	CCCCXLI	CCCCXLI	CCCCXLI	#N/A	441	Approx. 13c	1043				Jessie	Drafted and edited	Lindsay 5/29/20	Greek letters need to be checked
Add. 17,190	1#243-244	CCCVII	CXXVII	CCCVII		Add. 17,254	1#355-356	CCCCXLII	CCCCXLII	CCCCXLII	#N/A	442	Approx. 13c	1048				Jessie	Drafted and edited	Lindsay 5/30/20	Greek needs added in last addition
Add. 14,506, foll. 119-235	1#247-249	CCCX	CCLXIV	CCCX		Add. 17,259	1#356-357	CCCCXLIII	CCCCXLIII	CCCCXLIII	#N/A	443	Approx. 13c	1072				Jessie	Drafted and edited	Lindsay 5/30/20	
