Add. 14,461, foll. 1-107	1#65-66	XCIV	94	Approx. 6c	137
Add. 14,461, foll. 108-212	1#68	CII	102	Approx. 9c-10c	138
Add. 14,462	1#64-65	XCII	92	Approx. 6c	139
Add. 14,463	1#54-55	LXXVIII	78	Approx. 7c	140
Add. 14,464	1#70-71	CX	110	Approx. 6c	141
Add. 14,465	1#60-61	LXXXV	85	Approx. 12c	142
(Add. 14,466)					143
Add. 14,466, foll. 1-10	1#69	CVI	106	Approx. 12c	144
Add. 14,466, foll. 11-17	1#67	C	100	Approx. 10c-11c	145
Add. 14,466, foll. 18-42	1#73	CXVIII	118	Approx. 11c-12c	146
Add. 14,466, foll. 43-59	2#836-837	DCCCXX	820	Approx. 10c-11c	147
Add. 14,467	1#66-67	XCVII	97	Approx. 10c (early)	148
(Add. 14,468)					149
Add. 14,468, foll. 1-20	1#92-93	CXLIII	143	Approx. 7c	150
Add. 14,468, foll. 21-33	1#93	CXLVI	146	Approx. 10c-11c	151
Add. 14,469	1#75-76	CXX	120	936	152
Add. 14,470	1#40-41	LXIII	63	Approx. 5c-6c, 9c	153
Add. 14,471	1#53-54	LXXVII	77	615	154
Add. 14,472	1#81-82	CXXVIII	128	Approx. 6c-7c	155
(Add. 14,473)					156
Add. 14,473, foll. 1-139	1#79-80	CXXV	125	Approx. 6c	157
Add. 14,473, foll. 140-148	1#83-84	CXXXII	132	Approx. 11c	158
Add. 14,474	1#76-77	CXXI	121	Approx. 9c	159
Add. 14,475	1#86-87	CXXXVI	136	Approx. 6c	160
Add. 14,476	1#84	CXXXIII	133	Approx. 5c-6c	161
Add. 14,477	1#88-89	CXXXVIII	138	Approx. 6c-7c	162
Add. 14,478	1#90-92	CXLI	141	622	163
Add. 14,479	1#86	CXXXV	135	534	164
(Add. 14,480)	1#84-85	CXXXIV	134	Approx. 5c-6c	165
Add. 14,481	1#9	CXXXIX	139	Approx. 6c-7c	166
Add. 14,482	1#112-113	CLXV	165	Approx. 11c-12c	167
Add. 14,483	2#591	DCCVI	706	Approx. 9c	168
(Add. 14,484)					169
Add. 14,484, foll. 1-8	1#99	CLVIII	158	Approx. 5c-6c	170
Add. 14,484, foll. 9-11	1#99-100	CLIX	159	Approx. 10c-11c	171
Add. 14,484, foll. 12-47	1#98-99	CLVII	157	Approx. 6c	172
Add. 14,484, foll. 48-133	3#1152	DCCCCLXXXII	982	Approx. 6c	173
Add. 14,484, foll. 134-152	3#1152-1153	DCCCCLXXXIII	983	Approx. 6c	174
Add. 14,485	1#146-149	CCXX	220	824	175
Add. 14,486	1#149-152	CCXXI	221	824	176
Add. 14,487	1#152-154	CCXXII	222	824	177
Add. 14,488	1#194-200	CCL	250	Approx. 11c –prob.1023	178
Add. 14,489	1#200-202	CCLI	251	1046	179
(Add 14,490)					180
Add. 14,491	1#179-181	CCXLIV	244	Approx. 9c-10c	181
Add. 14,492	1#178-179	CCXLIII	243	862	182
Add. 14,493	1#219-223	CCLXXXVI	286	Approx. 10c	183
Add. 14,494	1#217-218	CCLXXXIV	284	Approx. 9c-10c	184
Add. 14,495	1#227-228	CCXCI	291	Approx. 10c-11c	185
Add. 14,496	1#223-225	CCLXXXVII	287	Approx. 10c	186
Add. 14,497	1#231-232	CCXCVI	296	Approx. 11c-12c	187
