Label,Syriaca_Headword,See_Also,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_12,Map_13,Map_14,Maps_CitedRange,Index_CitedRange
Beth Ḥuzaye,Beth Ḥuzaye,"Elam, Khuzistan",syriaca.org/place/34,,,,,,,,8,,,,,,,8,825
Beth Kartwaye,Beth Kartwaye,,syriaca.org/place/4464,,,,,,,,,,,,,,14,14,825
Beth Lapaṭ,Beth Lapaṭ,"Gondeshapur, Jundishabur",syriaca.org/place/35,1,,,,,,,8,,,,,,,"1, 8",825
Beth Lashpar,Beth Lashpar,Ḥulwan,syriaca.org/place/220 ,1,,,,,,7,8,,,,,,,"1, 7, 8",825
Beth Madaye,Beth Madaye,,syriaca.org/place/4465,,,,,,,,8,,,,,,,8,826
Beth Mazunaye,Beth Mazunaye,,syriaca.org/place/4477,,,,,,6,,,,,,,,,6,826
Beth Mihraqaye,Beth Mihraqaye,,syriaca.org/place/4466,,,,,,,,8,,,,,,,8,826
Beth Moksaye,Beth Moksaye,,syriaca.org/place/704,,,,,,,7,8,,,,,,,"7, 8",826
Beth Nuhadra,Beth Nuhadra,,syriaca.org/place/36,,,,,,,7,,,,,,,14,"7, 14",826
Beth Parsaye,Beth Parsaye,Fars,syriaca.org/place/84,,,,,,6,,,9,,,,,,"6, 9",826
Beth Qaṭraye,Beth Qaṭraye,,syriaca.org/place/37,,,,,,6,,,,,,,,,6,826
Beth Raziqaye,Beth Raziqaye,Rai,syriaca.org/place/38,,,,,,,,,9,,,,,,9,826
Beth Sbirino,Beth Sbirino,,syriaca.org/place/49,,,,,,,,,,,,,,14,14,826
Beth Waziq,Beth Waziq,al-Bawazij,syriaca.org/place/806,,,,,,,7,8,,,,,,,"7, 8",826
Beth Zabdai,Beth Zabdai,Azakh,syriaca.org/place/287,1,2,,,,,7,,,,,,,,"1, 2, 7",826
Beth Zabdai (region),Beth Zabdai,,syriaca.org/place/39,,2,,,,,,,,,,,,,2,826
Beth ʿAbe,Beth ʿAbe,,syriaca.org/place/223,,,,,,,,,,,,,,14,14,825
Beth ʿArbaye,Beth ʿArbaye,,syriaca.org/place/31,,,,,,,7,,,,,,,,7,825
Bədyal,Bədyal,,syriaca.org/place/4450,,,,,,,,,,,,,,14,14,826
Bian,Bian,Kaifeng,syriaca.org/place/4342,,,,,,,,,,,11,,,,11,826
Bijar,Bijar,,syriaca.org/place/4069,,2,,,,,,,9,,,,,,"2, 9",826
Bilbeis,Bilbeis,,syriaca.org/place/4126,,,,,5,,,,,,,,,,5,826
Bishapur,Bishapur,Veh-Shapur,syriaca.org/place/4235,,,,,,,,,9,,,,,,9,826
Bitlis,Bitlis,Badlis,syriaca.org/place/2283,,,,,,,,,,,,,,14,14,826
Biye,Biye,,syriaca.org/place/4452,,,,,,,,,,,,,,14,14,826
Black Sea,Black Sea,,syriaca.org/place/503,1,2,,,,,,,,,,,,,"1, 2",826
Bohtan,Bohtan,,syriaca.org/place/583,,,,,,,,,,,,,,14,14,826
Bokan,Bokan,,syriaca.org/place/4185,,,,,,,7,,9,,,,,,"7, 9",826
Bombay,Bombay,Mumbai,syriaca.org/place/4344,,,,,,,,,,,11,,,,11,826
Boṣra,Boṣra,Bostra,syriaca.org/place/40,1,2,,,5,,,,,,,,,,"1, 2, 5",826
Bost,Bost,,syriaca.org/place/4237,,,,,,,,,9,,,,,,9,826
Bostra,Bostra,Boṣra,syriaca.org/place/40,1,,,,5,,,,,,,,,,"1, 5",826
Brahmaputra River,Brahmaputra River,,syriaca.org/place/4346,,,,,,,,,,,11,,,,11,826
Bügür,Bügür,Luntai,syriaca.org/place/4307,,,,,,,,,,10,,,,,10,826
