Label,Syriaca_Headword,See_Also,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_12,Map_13,Map_14,Maps_CitedRange,Index_CitedRange
Melitene,Melitene,Malaṭya,syriaca.org/place/136,1,,,,,,7,,,,,,,,"1, 7",830
Memphis,Memphis,,syriaca.org/place/4138,,,,,5,,,,,,,,,,5,830
Merki,Merki,,syriaca.org/place/4311,,,,,,,,,,10,,,,,10,830
Meroë,Meroë,,syriaca.org/place/4167,,,,,,6,,,,,,,,,6,830
Merv,Merv,,syriaca.org/place/607,,,,,,,,,9,10,,,,,"9, 10",830
Merv al-Rud,Merv al-Rud,Bala Murghab,syriaca.org/place/4258,,,,,,,,,9,10,,,,,"9, 10",830
Midyat,Midyat,Medyad,syriaca.org/place/137,,,,,,,7,,,,,,,14,"7, 14",830
Mizdakhkan,Mizdakhkan,,syriaca.org/place/4312,,,,,,,,,,10,,,,,10,830
Mlaḥso,Mlaḥso,,syriaca.org/place/4193,,,,,,,7,,,,,,,14,"7, 14",830
Mongolia,Mongolia,,syriaca.org/place/4385,,,,,,,,,,,11,,,,11,830
Mopsuestia,Mopsuestia,,syriaca.org/place/138,,,3,,,,,,,,,,,,3,830
Mosul,Mosul,,syriaca.org/place/139,,2,,,,,7,,,,,,,14,"2, 7, 14",830
Muḥammara,Muḥammara,Khorramshahr,syriaca.org/place/4065,,,,,,,,8,,,,,,,8,830
Mulamthuruthy,Mulamthuruthy,,syriaca.org/place/4507,,,,,,,,,,,,,13,,13,830
Mumbai,Mumbai,Bombay,syriaca.org/place/4344,,,,,,,,,,,11,,,,11,830
Muqan,Muqan,,syriaca.org/place/4080,,2,,,,,,,9,,,,,,"2, 9",830
Muqaṭam Mountains,Muqaṭam Mountains,,syriaca.org/place/4480,,,,,5,,,,,,,,,,5,830
Murghab River,Murghab River,,syriaca.org/place/4260,,,,,,,,,9,10,,,,,"9, 10",830
Muttuchira,Muttuchira,,syriaca.org/place/4513,,,,,,,,,,,,,13,,13,830
Muziris,Muziris,Pattanam,syriaca.org/place/4499,,,,,,,,,,,,12,13,,"12, 13",830
Mylapore,Mylapore,"Chennai, Madras, Parangi Malai",syriaca.org/place/1960,,,,,,,,,,,11,12,,,"11, 12",830
Mysore ,Mysore ,Mysuru,syriaca.org/place/4386,,,,,,,,,,,11,12,,,"11, 12",830
Mysuru,Mysuru,Mysore ,syriaca.org/place/4386,,,,,,,,,,,11,,,,11,830
Nablus,Nablus,"Neapolis, Shechem",syriaca.org/place/4139,,,,,5,,,,,,,,,,5,830
Nahargur,Nahargur,ʿAbdasi,syriaca.org/place/4213,,,,,,,,8,,,,,,,8,830
Najran,Najran,,syriaca.org/place/464,,,,,,6,,,,,,,,,6,830
Nakhchivan,Nakhchivan,,syriaca.org/place/4081,,2,,,,,7,,9,,,,,,"2, 7, 9",830
Nakshab,Nakshab,Qarshi,syriaca.org/place/4265,,,,,,,,,9,10,,,,,"9, 10",830
Nanjing,Nanjing,Jiankang,syriaca.org/place/4369,,,,,,,,,,,11,,,,11,830
Narmada River,Narmada River,,syriaca.org/place/4388,,,,,,,,,,,11,,,,11,830
Navekath,Navekath,,syriaca.org/place/4313,,,,,,,,,,10,11,,,,"10, 11",830
Neapolis,Neapolis,"Nablus, Shechem",syriaca.org/place/4139,,,,,5,,,,,,,,,,5,830
Neocaesarea,Neocaesarea,,syriaca.org/place/4035,1,,,,,,,,,,,,,,1,830
Nepal,Nepal,,syriaca.org/place/4389,,,,,,,,,,,11,,,,11,830
Nerwa,Nerwa,,syriaca.org/place/4460,,,,,,,,,,,,,,14,14,830
Nicosia,Nicosia,,syriaca.org/place/4082,,2,3,,,,,,,,,,,,"2, 3",830
Nifr,Nifr,,syriaca.org/place/4083,,2,,,,,,8,,,,,,,"2, 8",830
Nihawand,Nihawand,,syriaca.org/place/4036,1,2,,,,,,8,9,,,,,,"1, 2, 8, 9",831
Niksar,Niksar,,syriaca.org/place/466,,2,,,,,,,,,,,,,2,831
Nile River,Nile River,,syriaca.org/place/629,,,,,5,6,,,,,,,,,"5, 6",831
Nineveh,Nineveh,,syriaca.org/place/144,1,,,,,,7,,,,,,,14,"1, 7, 14",831
Ningxia,Ningxia,"Xingqing, Yinchuan",syriaca.org/place/4528,,,,,,,,,,,11,,,,11,831
Nippur,Nippur,,syriaca.org/place/4037,1,,,,,,,,,,,,,,1,831
Nishapur,Nishapur,Abr Shahr,syriaca.org/place/4220,,,,,,,,,9,10,,,,,"9, 10",831
Nisibis,Nisibis,,syriaca.org/place/142,1,2,,,,,7,,,,,,,14,"1, 2, 7, 14",831
Nitria,Nitria,,syriaca.org/place/4481,,,,,5,,,,,,,,,,5,831
Nobatia,Nobatia,,syriaca.org/place/4537,,,,,,6,,,,,,,,,6,831
North Paravur,North Paravur,Parur,syriaca.org/place/4518,,,,,,,,,,,,,13,,13,831
Nubia,Nubia,,syriaca.org/place/4539,,,,,,6,,,,,,,,,6,831
Olan Süme,Olan Süme,,syriaca.org/place/4390,,,,,,,,,,,11,,,,11,831
Olba,Olba,,syriaca.org/place/4038,1,,3,,,,,,,,,,,,"1, 3",831
Oman,Oman,,syriaca.org/place/4542,,,,,,6,,,,,,,,,6,831
Orchoe,Orchoe,Uruk,syriaca.org/place/4039,1,,,,,,,8,,,,,,,"1, 8",831
Ordos,Ordos,,syriaca.org/place/4391,,,,,,,,,,,11,,,,11,831
Orontes River,Orontes River,,syriaca.org/place/147,,,,4,,,,,,,,,,,4,831
Osh,Osh,,syriaca.org/place/4314,,,,,,,,,,10,,,,,10,831
Osrhoene,Osrhoene,,syriaca.org/place/145,,,,,,,7,,,,,,,,7,831
Otrar,Otrar,Farab,syriaca.org/place/4315,,,,,,,,,,10,,,,,10,831
Our Lady of Mayfuq,Our Lady of Mayfuq,,syriaca.org/place/4121,,,,4,,,,,,,,,,,4,831
Oxus River,Oxus River,Amu Darya River,syriaca.org/place/4224,,,,,,,,,9,10,11,,,,"9, 10, 11",831
Pagan,Pagan,,syriaca.org/place/4392,,,,,,,,,,,11,,,,11,831
Palayur ,Palayur ,Palur,syriaca.org/place/4514,,,,,,,,,,,,12,,,12,831
Palestine,Palestine,,syriaca.org/place/698,1,2,,,5,,,,,,,,,,"1, 2, 5",831
Pallippuram,Pallippuram,,syriaca.org/place/4508,,,,,,,,,,,,,13,,13,831
Palmyra,Palmyra,Tadmur,syriaca.org/place/153,1,,3,,,,7,,,,,,,,"1, 3, 7",831
Palur,Palur,Palayur ,syriaca.org/place/4514,,,,,,,,,,,,12,,,12,831
Pamir,Pamir,,syriaca.org/place/4393,,,,,,,,,,10,11,,,,"10, 11",831
Panjikent,Panjikent,,syriaca.org/place/4317,,,,,,,,,,10,,,,,10,831
Panopolis,Panopolis,Akhmim,syriaca.org/place/4169,,,,,,6,,,,,,,,,6,831
Paphus,Paphus,,syriaca.org/place/4042,1,,3,,,,,,,,,,,,"1, 3",831
Parangi Malai,Parangi Malai,"Chennai, Madras, Mylapore",syriaca.org/place/1960,,,,,,,,,,,11,,,,11,831
Partaw,Partaw,,syriaca.org/place/4043,1,,,,,,,,9,,,,,,"1, 9",831
Parur,Parur,North Paravur,syriaca.org/place/4518,,,,,,,,,,,,,13,,13,831
Patna,Patna,,syriaca.org/place/4394,,,,,,,,,,,11,,,,11,831
Pattanam,Pattanam,Muziris,syriaca.org/place/4499,,,,,,,,,,,,12,13,,"12, 13",831
Paydangaran,Paydangaran,Baylaqan,syriaca.org/place/4041,1,,,,,,,,9,,,,,,"1, 9",831
Pegu,Pegu,,syriaca.org/place/4395,,,,,,,,,,,11,,,,11,831
Pelusium,Pelusium,,syriaca.org/place/1473,1,,,,5,,,,,,,,,,"1, 5",831
Penek,Penek,,syriaca.org/place/253,,,,,,,7,,,,,,,14,"7, 14",831
Periyar River ,Periyar River ,,syriaca.org/place/4482,,,,,,,,,,,,12,13,,"12, 13",831
Persia,Persia,Iran,syriaca.org/place/526,,,,,,,,,9,,,,,,9,831
Persian Gulf,Persian Gulf,,syriaca.org/place/156,,,,,,6,,,9,,,,,,"6, 9",831
Peshawar,Peshawar,,syriaca.org/place/4318,,,,,,,,,,10,11,,,,"10, 11",831
Petra,Petra,Wadi Musa,syriaca.org/place/157,1,,,,5,,,,,,,,,,"1, 5",831
Philadelphia,Philadelphia,Amman,syriaca.org/place/4044,1,,,,5,,,,,,,,,,"1, 5",831
Philippopolis,Philippopolis,,syriaca.org/place/158,1,,,,5,,,,,,,,,,"1, 5",831
Pingyang,Pingyang,Linfen,syriaca.org/place/4483,,,,,,,,,,,11,,,,11,831
Piroz-Shapur,Piroz-Shapur,Anbar,syriaca.org/place/211,1,,,,,,,8,,,,,,,"1, 8",831
Pontus,Pontus,,syriaca.org/place/633,1,,,,,,,,,,,,,,1,831
Prat d-Maishan,Prat d-Maishan,Bahman-Ardashir,syriaca.org/place/4203,1,,,,,,,8,,,,,,,"1, 8",831
Ptolemaïs,Ptolemaïs,"Acre, ʿAkka, Akko",syriaca.org/place/14,1,,,,5,,,,,,,,,,"1, 5",831
Pushang,Pushang,"Fushanj, Ghurian",syriaca.org/place/4261,,,,,,,,,9,10,,,,,"9, 10",831
Qadisha Valley,Qadisha Valley,,syriaca.org/place/4123,,,,4,,,,,,,,,,,4,831
Qaimar,Qaimar,,syriaca.org/place/770,,,,,,,,,,,,,,14,14,831
Qalamun Mountains,Qalamun Mountains,,syriaca.org/place/597,,,,4,,,,,,,,,,,4,831
Qalʿa Rumayta,Qalʿa Rumayta,Hromkla,syriaca.org/place/97,,,3,,,,,,,,,,,,3,831
Qalʿat Simʿan,Qalʿat Simʿan,,syriaca.org/place/635,,,3,,,,,,,,,,,,3,831
Qamishli,Qamishli,,syriaca.org/place/160,,,,,,,,,,,,,,14,14,831
Qamul,Qamul,,syriaca.org/place/4396,,,,,,,,,,,11,,,,11,831
Qanaʾ,Qanaʾ,Cane Emporium,syriaca.org/place/4171,,,,,,6,,,,,,,,,6,831
Qandahar,Qandahar,,syriaca.org/place/4264,,,,,,,,,9,,11,,,,"9, 11",831
Qara,Qara,,syriaca.org/place/161,,,,4,,,,,,,,,,,4,831
Qara Qocho,Qara Qocho,Gaochang,syriaca.org/place/4319,,,,,,,,,,10,,,,,10,831
Qara Qota,Qara Qota,,syriaca.org/place/4397,,,,,,,,,,,11,,,,11,831
Qaraqorum,Qaraqorum,,syriaca.org/place/4398,,,,,,,,,,,11,,,,11,831
Qaraqosh,Qaraqosh,,syriaca.org/place/262,,2,,,,,7,,,,,,,14,"2, 7, 14",831
Qarashahr,Qarashahr,Yanqi,syriaca.org/place/4321,,,,,,,,,,10,11,,,,"10, 11",831
Qardu,Qardu,,syriaca.org/place/2355,,,,,,,,,,,,,,14,14,831
Qarqisiyaʾ,Qarqisiyaʾ,"Circesium, Qarqisyun",syriaca.org/place/62,,2,,,,,7,,,,,,,,"2, 7",831
Qarqisyun,Qarqisyun,"Circesium, Qarqisiyaʾ",syriaca.org/place/62,1,2,,,,,7,,,,,,,,"1, 2, 7",831
Qarshi,Qarshi,Nakshab,syriaca.org/place/4265,,,,,,,,,9,10,,,,,"9, 10",831
Qarta,Qarta,,syriaca.org/place/2356,,,,,,,,,,,,,,14,14,831
Qarṭmin,Qarṭmin,,syriaca.org/place/226,,,,,,,,,,,,,,14,14,831
Qash,Qash,,syriaca.org/place/4267,,,,,,,,,9,,,,,,9,831
Qashan,Qashan,Kashan,syriaca.org/place/4268,,,,,,,,,9,,,,,,9,831
Qaṣr Ibn Hubayra,Qaṣr Ibn Hubayra,,syriaca.org/place/4216,,,,,,,,8,,,,,,,8,831
Qaṣr Ibrim,Qaṣr Ibrim,,syriaca.org/place/4153,,,,,,6,,,,,,,,,6,831
Qaṣr-e Shirin,Qaṣr-e Shirin,,syriaca.org/place/4194,,,,,,,7,8,,,,,,,"7, 8",831
Qayaliq,Qayaliq,,syriaca.org/place/4323,,,,,,,,,,10,,,,,10,831
Qenneshre,Qenneshre,,syriaca.org/place/230,,,3,,,,7,,,,,,,,"3, 7",831
Qenneshrin,Qenneshrin,Chalcis,syriaca.org/place/162,1,2,3,,,,,,,,,,,,"1, 2, 3",831
Qozhaya,Qozhaya,Mar Antonios,syriaca.org/place/4116,,,,4,,,,,,,,,,,4,831
Quanzhou,Quanzhou,,syriaca.org/place/2535,,,,,,,,,,,11,,,,11,831
Quilon,Quilon,Kollam,syriaca.org/place/4441,,,,,,,,,,,,12,,,12,831
Qulzum,Qulzum,Klysma,syriaca.org/place/4132,,,,,5,,,,,,,,,,5,832
Qum,Qum,,syriaca.org/place/4217,,,,,,,,8,9,,,,,,"8, 9",832
Qurus,Qurus,Cyrrhus,syriaca.org/place/65,,2,3,,,,,,,,,,,,"2, 3",832
Rabban Bar ʿEdta,Rabban Bar ʿEdta,,syriaca.org/place/167,,,,,,,,,,,,,,14,14,832
Rabban Hormizd,Rabban Hormizd,,syriaca.org/place/168,,,,,,,,,,,,,,14,14,832
Radhan,Radhan,,syriaca.org/place/4045,1,,,,,,,8,,,,,,,"1, 8",832
Rafaḥ,Rafaḥ,Raphia,syriaca.org/place/4084,,2,,,5,,,,,,,,,,"2, 5",832
Rai,Rai,Beth Raziqaye,syriaca.org/place/38,,,,,,,,,9,,,,,,9,832
Ram-Hormizd,Ram-Hormizd,,syriaca.org/place/4218,,,,,,,,8,,,,,,,8,832
Ramapuram ,Ramapuram ,,syriaca.org/place/4522,,,,,,,,,,,,12,,,12,832
Ramat,Ramat,Jubayl,syriaca.org/place/4485,,,,,,6,,,,,,,,,6,832
Raphia,Raphia,Rafaḥ,syriaca.org/place/4046,1,,,,5,,,,,,,,,,"1, 5",832
Rasht,Rasht,,syriaca.org/place/4270,,,,,,,,,9,,,,,,9,832
Red Sea,Red Sea,,syriaca.org/place/4536,,,,,,6,,,,,,,,,6,832
Reṣafa,Reṣafa,Sergiopolis,syriaca.org/place/165 ,,2,,,,,7,,,,,,,,"2, 7",832
Reshʿayna,Reshʿayna,,syriaca.org/place/172,1,2,,,,,7,,,,,,,,"1, 2, 7",832
Rev Ardashir,Rev Ardashir,,syriaca.org/place/4173,,,,,,6,,,9,,,,,,"6, 9",832
Rima,Rima,,syriaca.org/place/4487,,,,,,,,8,,,,,,,8,832
Riyadh,Riyadh,,syriaca.org/place/4174,,,,,,6,,,,,,,,,6,832
Rudavar,Rudavar,"Karaj, Kuj",syriaca.org/place/4207,,,,,,,,8,,,,,,,8,832
Rumiyya,Rumiyya,"Maḥoza Ḥdatta, Veh-Antiokh-e Khosrow",syriaca.org/place/4209,1,,,,,,,8,,,,,,,"1, 8",832
Rustaqa,Rustaqa,Mar Ishoʿ,syriaca.org/place/1664,,,,,,,,,,,,,,14,14,832
Ruwanduz,Ruwanduz,,syriaca.org/place/4085,,2,,,,,7,,,,,,,14,"2, 7, 14",832
Sablagh,Sablagh,Mahabad,syriaca.org/place/4195,,2,,,,,7,,,,,,,,"2, 7",832
Ṣadad,Ṣadad,,syriaca.org/place/276,,,,4,,,,,,,,,,,4,832
Sainqala,Sainqala,,syriaca.org/place/4196,,,,,,,7,,9,,,,,,"7, 9",832
Ṣalaḥ,Ṣalaḥ,,syriaca.org/place/2,,,,,,,,,,,,,,14,14,832
Salakh,Salakh,,syriaca.org/place/2362,,,,,,,,,,,,,,14,14,832
Salamas,Salamas,Salmas,syriaca.org/place/177,,,,,,,,,,,,,,14,14,832
Salamis,Salamis,Constantia,syriaca.org/place/4047,1,,3,,,,,,,,,,,,"1, 3",832
Salmas,Salmas,Salamas,syriaca.org/place/177,,2,,,,,7,,,,,,,,"2, 7",832
Salween River,Salween River,,syriaca.org/place/4399,,,,,,,,,,,11,,,,11,832
Samahij,Samahij,Mashmahig,syriaca.org/place/4162,,,,,,6,,,,,,,,,6,832
Samarqand,Samarqand,,syriaca.org/place/865,,,,,,,,,,10,11,,,,"10, 11",832
Samarraʾ,Samarraʾ,,syriaca.org/place/4087,,2,,,,,7,8,,,,,,,"2, 7, 8",832
Šammәsdin,Šammәsdin,,syriaca.org/place/778,,,,,,,,,,,,,,14,14,832
Samosata,Samosata,Sumaysaṭ,syriaca.org/place/178,1,2,,,,,7,,,,,,,,"1, 2, 7",832
Sanandaj,Sanandaj,Sehna,syriaca.org/place/867,,2,,,,,,8,9,,,,,,"2, 8, 9",832
Ṣanʿaʾ,Ṣanʿaʾ,,syriaca.org/place/4175,,,,,,6,,,,,,,,,6,832
Saqqez,Saqqez,,syriaca.org/place/4088,,2,,,,,7,,9,,,,,,"2, 7, 9",832
Ṣarrin,Ṣarrin,,syriaca.org/place/655,,,3,,,,7,,,,,,,,"3, 7",832
Scetis,Scetis,Wadi Naṭrun,syriaca.org/place/289,,,,,5,,,,,,,,,,5,832
Scythopolis,Scythopolis,Baysan,syriaca.org/place/180,1,,,,5,,,,,,,,,,"1, 5",832
Sebasteia,Sebasteia,,syriaca.org/place/4049,1,,,,,,,,,,,,,,1,832
Segestan,Segestan,Sistan,syriaca.org/place/409,,,,,,,,,9,,,,,,9,832
Sehna,Sehna,Sanandaj,syriaca.org/place/867,,2,,,,,,8,9,,,,,,"2, 8, 9",832
Seleucia,Seleucia,,syriaca.org/place/182,1,,,,,,,8,,,,,,,"1, 8",832
Seleucia Pieria,Seleucia Pieria,,syriaca.org/place/183,1,,3,,,,,,,,,,,,"1, 3",832
Seleucia Tracheotis,Seleucia Tracheotis,Silifke,syriaca.org/place/174,1,,3,,,,,,,,,,,,"1, 3",832
Semele,Semele,,syriaca.org/place/4461,,,,,,,,,,,,,,14,14,832
Semirechye,Semirechye,Yeti Su,syriaca.org/place/4488,,,,,,,,,,10,11,,,,"10, 11",832
Sergiopolis,Sergiopolis,Reṣafa,syriaca.org/place/165,1,,,,,,7,,,,,,,,"1, 7",832
Serug,Serug,Batnae,syriaca.org/place/48,,,,,,,7,,,,,,,,7,832
"Sevan, Lake",Lake Sevan ,,syriaca.org/place/4031,1,2,,,,,,,,,,,,,"1, 2",832
Šəno,Šəno,Eshnuq,syriaca.org/place/2301,,,,,,,7,,,,,,,14,"7, 14",832
Shahr-e Piroz,Shahr-e Piroz,,syriaca.org/place/4271,,,,,,,,,9,,,,,,9,832
Shahrqart,Shahrqart,,syriaca.org/place/2370,,,,,,,7,,,,,,,,7,832
Shahrzur,Shahrzur,,syriaca.org/place/2371,1,,,,,,7,8,9,,,,,,"1, 7, 8, 9",832
Shaki,Shaki,,syriaca.org/place/4090,,2,,,,,,,,,,,,,2,832
Shamakhi,Shamakhi,,syriaca.org/place/4091,,2,,,,,,,,,,,,,2,832
Shangdu,Shangdu,Xanadu,syriaca.org/place/4400,,,,,,,,,,,11,,,,11,832
Shangwan,Shangwan,Xiapu,syriaca.org/place/4415,,,,,,,,,,,11,,,,11,832
Shaqlawa,Shaqlawa,,syriaca.org/place/4462,,,,,,,,,,,,,,14,14,832
Sharfeh,Sharfeh,,syriaca.org/place/232,,,,4,,,,,,,,,,,4,832
Shayzar,Shayzar,Larissa,syriaca.org/place/4089,,2,3,,,,,,,,,,,,"2, 3",832
Shechem,Shechem,"Nablus, Neapolis",syriaca.org/place/4139,,,,,5,,,,,,,,,,5,832
Shenna,Shenna,"Shenna d-Beth Raman, al-Sinn",syriaca.org/place/869,,2,,,,,7,8,,,,,,,"2, 7, 8",832
Shenna d-Beth Raman,Shenna d-Beth Raman,"Shenna, al-Sinn",syriaca.org/place/869,1,,,,,,,,,,,,,,1,832
Shimshaṭ,Shimshaṭ,Arsamosata,syriaca.org/place/286,,2,,,,,7,,,,,,,,"2, 7",832
Shiraz,Shiraz,,syriaca.org/place/4272,,,,,,,,,9,,,,,,9,832
Shui Pang,Shui Pang,,syriaca.org/place/4467,,,,,,,,,,10,,,,,10,832
Shushtar,Shushtar,,syriaca.org/place/4092,,2,,,,,,8,9,,,,,,"2, 8, 9",832
Sidon,Sidon,,syriaca.org/place/187,1,2,,4,5,,,,,,,,,,"1, 2, 4, 5",832
Siirt,Siirt,Sirte,syriaca.org/place/188 ,1,2,,,,,7,,,,,,,14,"1, 2, 7, 14",832
Silifke,Silifke,Seleucia Tracheotis,syriaca.org/place/174,,2,3,,,,,,,,,,,,"2, 3",832
Silvan,Silvan,"Maipherqaṭ, Martyropolis, Mayyafariqin",syriaca.org/place/134,,,,,,,,,,,,,,14,14,832
Sinai Peninsula,Sinai Peninsula,,syriaca.org/place/4142,,,,,5,,,,,,,,,,5,832
Singara,Singara,Sinjar,syriaca.org/place/184,1,,,,,,,,,,,,,,1,832
Sinjar,Sinjar,Singara,syriaca.org/place/184,,2,,,,,7,,,,,,,14,"2, 7, 14",832
"Sinjar, Mount",Mount Sinjar,,syriaca.org/place/524,,,,,,,,,,,,,,14,14,832
Ṣir Bani Yas Island,Ṣir Bani Yas Island,,syriaca.org/place/4490,,,,,,6,,,,,,,,,6,832
Siraf,Siraf,,syriaca.org/place/4176,,,,,,6,,,9,,,,,,"6, 9",832
Sirawan,Sirawan,,syriaca.org/place/4050,1,,,,,,,8,9,,,,,,"1, 8, 9",832
Sirte,Sirte,Siirt,syriaca.org/place/188 ,,,,,,,7,,,,,,,,7,832
Sis,Sis,,syriaca.org/place/190,,2,3,,,,,,,,,,,,"2, 3",832
Sistan,Sistan,Segestan,syriaca.org/place/409,,,,,,,,,9,,,,,,9,833
Sivas,Sivas,,syriaca.org/place/4093,,2,,,,,,,,,,,,,2,833
Siverek,Siverek,,syriaca.org/place/4197,,,,,,,7,,,,,,,,7,833
Soba,Soba,,syriaca.org/place/4177,,,,,,6,,,,,,,,,6,833
Socotra,Socotra,,syriaca.org/place/642,,,,,,6,,,,,,,,,6,833
Sogdiana,Sogdiana,Transoxiana,syriaca.org/place/4273,,,,,,,,,9,10,,,,,"9, 10",833
Solduz,Solduz,,syriaca.org/place/4198,,,,,,,7,,,,,,,14,"7, 14",833
Soltania,Soltania,Sulṭaniyya,syriaca.org/place/4094,,2,,,,,,,9,,,,,,"2, 9",833
South China Sea,South China Sea,,syriaca.org/place/4402,,,,,,,,,,,11,,,,11,833
Sri Lanka,Sri Lanka,Ceylon,syriaca.org/place/4427,,,,,,,,,,,,12,,,12,833
St Catherine’s Monastery,St Catherine’s Monastery,,syriaca.org/place/368,,,,,5,6,,,,,,,,,"5, 6",833
Ṣuḥar,Ṣuḥar,,syriaca.org/place/4164,,,,,,6,,,,,,,,,6,833
Sulemaniyya,Sulemaniyya,,syriaca.org/place/4096,,2,,,,,7,,,,,,,,"2, 7",833
Sulṭaniyya,Sulṭaniyya,Soltania,syriaca.org/place/4094,,2,,,,,,,9,,,,,,"2, 9",833
Sum Huh Burd,Sum Huh Burd,,syriaca.org/place/4403,,,,,,,,,,,11,,,,11,833
Sumatar Harabesi,Sumatar Harabesi,,syriaca.org/place/643,,,,,,,7,,,,,,,,7,833
Sumaysaṭ,Sumaysaṭ,Samosata,syriaca.org/place/178,,2,,,,,7,,,,,,,,"2, 7",833
Sura,Sura,,syriaca.org/place/4199,,,,,,,7,,,,,,,,7,833
Surkhan Darya River,Surkhan Darya River,,syriaca.org/place/4491,,,,,,,,,,10,,,,,10,833
Susa,Susa,,syriaca.org/place/415,1,,,,,,,8,9,,,,,,"1, 8, 9",833
Suyab,Suyab,Aq-Beshim,syriaca.org/place/4279,,,,,,,,,,10,,,,,10,833
Suzhou,Suzhou,Jiuquan,syriaca.org/place/4404,,,,,,,,,,,11,,,,11,833
Syene,Syene,Aswan,syriaca.org/place/4178,,,,,,6,,,,,,,,,6,833
Syr Darya River,Syr Darya River,Jaxartes River,syriaca.org/place/4406,,,,,,,,,,10,11,,,,"10, 11",833
Syria,Syria,,syriaca.org/place/486,1,2,3,4,,,7,,,,,,,,"1, 2, 3, 4, 7",833
Syrian Desert,Syrian Desert,,syriaca.org/place/4051,1,2,3,4,,,7,,,,,,,,"1, 2, 3, 4, 7",833
Tabriz,Tabriz,,syriaca.org/place/308,1,2,,,,,7,,9,,,,,,"1, 2, 7, 9",833
Tabuk,Tabuk,,syriaca.org/place/4180,,,,,,6,,,,,,,,,6,833
Tadmur,Tadmur,Palmyra,syriaca.org/place/153,,2,3,,,,7,,,,,,,,"2, 3, 7",833
Tagrit,Tagrit,,syriaca.org/place/193,1,2,,,,,7,8,,,,,,,"1, 2, 7, 8",833
Taiwan,Taiwan,,syriaca.org/place/4408,,,,,,,,,,,11,,,,11,833
Taklamakan Desert,Taklamakan Desert,,syriaca.org/place/4324,,,,,,,,,,10,11,,,,"10, 11",833
Tal ʿAfar,Tal ʿAfar,,syriaca.org/place/4463,,,,,,,,,,,,,,14,14,833
Talas,Talas,Ṭaraz,syriaca.org/place/4325,,,,,,,,,,10,,,,,10,833
Taleqan,Taleqan,,syriaca.org/place/4274,,,,,,,,,9,,,,,,9,833
Talgar,Talgar,,syriaca.org/place/4327,,,,,,,,,,10,,,,,10,833
Ṭamanon,Ṭamanon,,syriaca.org/place/2395,,,,,,,,,,,,,,14,14,833
Tambraparani River ,Tambraparani River ,,syriaca.org/place/4492,,,,,,,,,,,,12,,,12,833
Tana,Tana,Thane,syriaca.org/place/4493,,,,,,,,,,,11,,,,11,833
Tangtse,Tangtse,Drangtse,syriaca.org/place/4287,,,,,,,,,,10,,,,,10,833
Tangut,Tangut,,syriaca.org/place/727,,,,,,,,,,,11,,,,11,833
Tanjore,Tanjore,Thanjavur,syriaca.org/place/4443,,,,,,,,,,,,12,,,12,833
Ṭaraz,Ṭaraz,Talas,syriaca.org/place/4325,,,,,,,,,,10,,,,,10,833
Tarim Basin,Tarim Basin,,syriaca.org/place/4409,,,,,,,,,,10,11,,,,"10, 11",833
Tarim River,Tarim River,,syriaca.org/place/4328,,,,,,,,,,10,11,,,,"10, 11",833
Tarsus,Tarsus,,syriaca.org/place/196,1,2,3,,,,,,,,,,,,"1, 2, 3",833
Ṭartuṣ,Ṭartuṣ,,syriaca.org/place/4108,,,3,,,,,,,,,,,,3,833
Tarut,Tarut,Dayirin,syriaca.org/place/4150,,,,,,6,,,9,,,,,,"6, 9",833
Tashkent,Tashkent,,syriaca.org/place/4329,,,,,,,,,,10,11,,,,"10, 11",833
Tat῾ev,Tat῾ev,,syriaca.org/place/4097,,2,,,,,7,,9,,,,,,"2, 7, 9",833
"Tatta, Lake",Lake Tatta,"Tuz, Lake",syriaca.org/place/4032,1,,,,,,,,,,,,,,1,833
Taurus Mountains,Taurus Mountains,,syriaca.org/place/4106,,,3,,,,,,,,,,,,3,833
Taymaʾ,Taymaʾ,,syriaca.org/place/4181,,,,,,6,,,,,,,,,6,833
Tehran,Tehran,,syriaca.org/place/4275,,,,,,,,,9,,,,,,9,833
Tel Bashir,Tel Bashir,,syriaca.org/place/4107,,2,3,,,,7,,,,,,,,"2, 3, 7",833
Telkepe,Telkepe,,syriaca.org/place/197,,,,,,,,,,,,,,14,14,833
Tell ʿAda,Tell ʿAda,,syriaca.org/place/233,,,3,,,,,,,,,,,,3,833
Tella,Tella,Constantina,syriaca.org/place/200,1,,,,,,7,,,,,,,,"1, 7",833
Tenduc,Tenduc,,syriaca.org/place/4410,,,,,,,,,,,11,,,,11,833
Tergawar,Tergawar,,syriaca.org/place/250,,,,,,,,,,,,,,14,14,833
Thaj,Thaj,,syriaca.org/place/4495,,,,,,6,,,,,,,,,6,833
Thane,Thane,Tana,syriaca.org/place/4493,,,,,,,,,,,11,,,,11,833
Thanjavur,Thanjavur,Tanjore,syriaca.org/place/4443,,,,,,,,,,,,12,,,12,833
Thar Desert,Thar Desert,,syriaca.org/place/4411,,,,,,,,,,,11,,,,11,833
Thebes,Thebes,,syriaca.org/place/4182,,,,,,6,,,,,,,,,6,833
Thekkumkur,Thekkumkur,,syriaca.org/place/4498,,,,,,,,,,,,,13,,13,833
